date,equity,cash,positions,gross_exposure_pct,portfolio_return,spy_return,excess_return,exposure_matched_spy_return,exposure_matched_excess_return
2016-07-11,100032.87,96368.63,1,3.663,0.00032871,0.0,0.00032871,0.0,0.00032871
2016-07-12,100113.94,96368.63,1,3.741,0.00081038,0.00726385,-0.00645347,0.00026608,0.0005443
2016-07-13,100113.3,92739.09,2,7.3659,-6.34e-06,-0.00013982,0.00013347,-5.23e-06,-1.11e-06
2016-07-14,100098.68,92739.09,2,7.3523,-0.00014604,0.00558306,-0.0057291,0.00041124,-0.00055728
2016-07-15,100156.12,92739.09,2,7.4055,0.00057387,-0.00134116,0.00191504,-9.861e-05,0.00067248
2016-07-18,100184.19,92739.09,2,7.4314,0.0002802,0.00268647,-0.00240628,0.00019895,8.125e-05
2016-07-19,100187.72,92739.09,2,7.4347,3.521e-05,-0.00101605,0.00105127,-7.551e-05,0.00011072
2016-07-20,100258.04,92739.09,2,7.4996,0.00070191,0.00416337,-0.00346147,0.00030953,0.00039238
2016-07-21,100192.44,92739.09,2,7.439,-0.00065426,-0.00377731,0.00312304,-0.00028328,-0.00037098
2016-07-22,100194.61,92739.09,2,7.441,2.166e-05,0.00448481,-0.00446315,0.00033363,-0.00031196
2016-07-25,100167.9,89132.3,3,11.0171,-0.0002666,-0.00271605,0.00244945,-0.0002021,-6.45e-05
2016-07-26,100409.64,89132.3,3,11.2313,0.00241333,0.00046168,0.00195165,5.086e-05,0.00236247
2016-07-27,100440.51,89132.3,3,11.2586,0.00030747,-0.00106104,0.00136851,-0.00011917,0.00042664
2016-07-28,100474.74,89132.3,3,11.2888,0.00034077,0.00115488,-0.00081411,0.00013002,0.00021075
2016-07-29,100411.78,89132.3,3,11.2332,-0.0006266,0.00161443,-0.00224102,0.00018225,-0.00080885
2016-08-01,100312.44,89132.3,3,11.1453,-0.00098933,-0.00082889,-0.00016044,-9.311e-05,-0.00089622
2016-08-02,100022.42,89132.3,3,10.8877,-0.00289116,-0.00640773,0.00351657,-0.00071416,-0.002177
2016-08-03,100055.44,92447.22,2,7.604,0.00033011,0.00292307,-0.00259296,0.00031825,1.185e-05
2016-08-04,100091.95,92447.22,2,7.6377,0.00036489,0.00106329,-0.0006984,8.085e-05,0.00028404
2016-08-05,100184.09,92447.22,2,7.7227,0.00092058,0.00817942,-0.00725884,0.00062472,0.00029586
2016-08-08,100195.83,92756.94,2,7.4243,0.00011714,-0.00059565,0.00071278,-4.6e-05,0.00016314
2016-08-09,100190.13,92756.94,2,7.4191,-5.692e-05,0.000596,-0.00065292,4.425e-05,-0.00010116
2016-08-10,100012.89,92950.21,2,7.0618,-0.00176897,-0.00247459,0.00070563,-0.00018359,-0.00158537
2016-08-11,100029.9,92950.21,2,7.0776,0.00017001,0.00464052,-0.00447051,0.0003277,-0.0001577
2016-08-12,100030.8,92950.21,2,7.0784,9.03e-06,-0.00086927,0.0008783,-6.152e-05,7.055e-05
2016-08-15,100141.54,92950.21,2,7.1812,0.00110711,0.0028836,-0.00177649,0.00020411,0.000903
