attempt,edge_rank,fill_date,fill_idx,pattern_stop,pivot,positive_relative_ma_slope,relative_ma_missing_reason,relative_ma_period,relative_ma_signal_date,relative_ma_slope_pct,relative_ma_slope_sessions,sector,signal_date,spy_ma_20_sessions_ago,spy_ma_slope_pct,spy_ma_value,stock_ma_20_sessions_ago,stock_ma_slope_pct,stock_ma_value,stock_signal_close,symbol
1,30.0,2016-10-14,577,58.04,62.73,True,,20,2016-10-13,5.590100229425521,20,Unknown,2016-10-13,185.0594,-0.5410641123877014,184.05811,58.68684499999999,5.0490361170378195,61.649964999999995,62.347,SWKS
1,30.0,2016-10-14,577,58.27,62.73,True,,20,2016-10-13,5.590100229425521,20,Unknown,2016-10-13,185.0594,-0.5410641123877014,184.05811,58.68684499999999,5.0490361170378195,61.649964999999995,62.347,SWKS
1,30.0,2016-11-10,596,73.49,81.64,True,,20,2016-11-09,3.6376894169868446,20,Unknown,2016-11-09,184.10896,-1.0204066113892574,182.2303,76.552675,2.617282805597587,78.556275,80.8239,VRSN
1,30.0,2016-11-30,609,48.0,49.88,True,,20,2016-11-29,0.11032990989938707,20,Unknown,2016-11-29,183.202425,1.163115062478015,185.33328,47.534445,1.2734449723774022,48.13977,48.4857,DOV
1,70.0,2017-02-17,663,73.49,81.64,True,,20,2017-02-16,1.8699912088894433,20,Unknown,2017-02-16,194.611875,1.6317246827820764,197.78740499999998,77.724895,3.5017158916715196,80.4466,80.6958,VRSN
1,30.0,2017-02-27,541,52.82,56.97,True,,20,2017-02-24,12.384609188921171,20,Unknown,2017-02-24,195.03642499999998,2.3299981016366766,199.58077,57.307,14.714607290557847,65.73949999999999,66.19,QRVO
1,30.0,2017-02-27,668,248.55,273.99,True,,20,2017-02-24,1.3227156306813592,20,Unknown,2017-02-24,195.03642499999998,2.3299981016366766,199.58077,263.05100000000004,3.652713732318036,272.6595,276.33,ULTA
1,30.0,2017-03-01,670,28.9,31.13,True,,20,2017-02-28,6.045497900795448,20,Unknown,2017-02-28,195.370995,2.5307441363033423,200.315335,28.491500000000002,8.57624203709879,30.935000000000002,31.1,TDC
1,30.0,2017-03-09,676,38.34,41.75,True,,20,2017-03-08,2.0237056837492995,20,Unknown,2017-03-08,196.00438,3.4649914455993303,202.795915,38.286955,5.48869712934863,40.38841,40.9344,GRMN
1,30.0,2017-05-23,728,192.34,209.81,True,,20,2017-05-22,5.582040648740327,20,Unknown,2017-05-22,203.19554499999998,1.6491946218604392,206.546635,200.994705,7.2312352706007665,215.529105,216.5489,MLM
1,30.0,2017-06-05,736,62.95,67.52,True,,20,2017-06-02,2.3141233434628594,20,Unknown,2017-06-02,204.32944,1.6413102292063275,207.68312,65.431765,3.955433572669187,68.019875,68.232,ADI
1,30.0,2017-07-24,770,30.58,33.4,True,,20,2017-07-21,3.1762337372244875,20,Unknown,2017-07-21,210.60263500000002,0.5454300227535125,211.751325,31.45045,3.721663759978,32.62093,32.7031,GT
1,30.0,2017-09-11,677,64.7,70.27,True,,20,2017-09-08,5.302012180139304,20,Unknown,2017-09-08,214.480395,-0.5472598089909297,213.30662999999998,68.24225,4.754752371148374,71.487,71.61,QRVO
1,30.0,2017-09-22,813,30.14,32.28,True,,20,2017-09-21,2.1504400778109334,20,Unknown,2017-09-21,213.75988999999998,0.8295429044242075,215.53312,31.214440000000003,2.979982982235141,32.144625000000005,32.2516,TJX
1,30.0,2017-10-02,819,59.17,62.07,True,,20,2017-09-29,9.991790339187222,20,Unknown,2017-09-29,213.276215,1.7723659433847239,217.05625,58.759335,11.764156282571946,65.671875,65.8165,PRGO
1,30.0,2017-11-02,842,120.78,126.06,True,,20,2017-11-01,3.222447534150219,20,Unknown,2017-11-01,217.98201,2.462721579638605,223.3503,122.86609000000001,5.685169113788824,129.851235,130.3881,CB
1,100.0,2017-11-14,850,82.36,88.27,True,,20,2017-11-13,3.5868817046513124,20,Unknown,2017-11-13,220.296305,1.9762837147904166,224.64998500000002,84.448145,5.563165419441729,89.146135,89.9712,SWKS
1,100.0,2018-01-05,885,71.19,75.1,True,,20,2018-01-04,0.9476571788355814,20,Unknown,2018-01-04,227.270735,3.0011057076926306,234.09137,73.94835,3.948762886528212,76.86839499999999,77.2976,PRU
1,30.0,2018-02-05,905,74.37,77.64,True,,20,2018-02-02,5.336650182525226,20,Unknown,2018-02-02,234.09137,4.830720585726844,245.39967000000001,75.29690000000001,10.16737076825207,82.95261500000001,83.0515,STT
1,30.0,2018-02-06,777,154.88,165.77,True,,20,2018-02-05,8.82010828129529,20,Unknown,2018-02-05,234.59699,4.427211534129216,244.983095,158.851,13.247319815424508,179.8945,180.36,IDXX
1,85.0,2018-02-26,919,30.57,32.87,True,,20,2018-02-23,4.689021613968036,20,Unknown,2018-02-23,241.92975499999997,-1.1991249278121896,239.028715,31.777445,3.4898966861558467,32.886444999999995,33.391,ADM
1,70.0,2018-02-27,920,224.22,243.22,True,,20,2018-02-26,2.746575811158869,20,Unknown,2018-02-26,242.77518,-1.7001243702095215,238.6477,249.20411,1.0464514409493475,251.81190999999998,254.8206,HUM
1,30.0,2018-05-24,852,189.42,202.26,True,,20,2018-05-23,3.1303085368824757,20,Unknown,2018-05-23,233.035165,1.7718377395960827,237.16417,192.9155,4.902146276478558,202.3725,204.16,IDXX
1,100.0,2018-05-30,984,37.32,41.06,True,,20,2018-05-29,2.9468109115721397,20,Unknown,2018-05-29,233.781295,1.7597686761038789,237.895305,39.47527,4.706579587676019,41.333205,41.5862,CTAS
