attempt,diagnostic_exit_idx,divergence_missing_reason,divergence_signal_date,edge_rank,entry_adv_dollars,entry_date,entry_day_stop,entry_idx,entry_price,estimated_cost_drag_pct,exit_date,exit_price,exit_reason,gross_excess_vs_spy_pct,gross_return_pct,highest_close,hold_sessions,initial_stop,ma50_20_sessions_ago,ma50_missing_reason,ma50_period,ma50_signal_date,ma50_slope_pct,ma50_slope_sessions,ma50_value,matched_spy_return_pct,model_exit_idx,net_excess_vs_spy_pct,net_return_pct,pattern_stop,pivot,positive_ma50_slope,positive_relative_ma50_slope,positive_relative_ma_slope,positive_rs_divergence,relative_divergence_pct,relative_ma50_missing_reason,relative_ma50_period,relative_ma50_signal_date,relative_ma50_slope_pct,relative_ma50_slope_sessions,relative_ma_missing_reason,relative_ma_period,relative_ma_signal_date,relative_ma_slope_pct,relative_ma_slope_sessions,rs_divergence_lookback,sector,shares,signal_close,signal_date,spy_lookback_return_pct,spy_ma50_20_sessions_ago,spy_ma50_slope_pct,spy_ma50_value,spy_ma_20_sessions_ago,spy_ma_slope_pct,spy_ma_value,stock_lookback_return_pct,stock_ma50_20_sessions_ago,stock_ma50_slope_pct,stock_ma50_value,stock_ma_20_sessions_ago,stock_ma_slope_pct,stock_ma_value,stock_signal_close,stop,symbol
1,,,,30.0,379166119.51,2016-10-12,False,575,13.142,0.1862579517578693,2016-12-01,12.4975,stop,-7.45575316976228,-4.713742048242131,13.1073,35,12.51,,,,,,,,2.7420111215201493,,-7.64201112152015,-4.9,12.51,13.35,,,True,,,,,,,,,190,2016-10-11,1.351827552043794,20,,Unknown,276,,2016-10-11,,,,,174.29376947368422,0.8420432651151,175.76139842105263,,,,,11.46872210526316,2.193870817158894,11.720331052631579,13.1611,12.51,AVGO
1,,,,30.0,107004376.16,2016-11-30,False,609,50.6694,0.22218612882399924,2017-02-28,55.8233,timeout,2.458685025314611,10.392186128824,50.4521,60,48.0,,,,,,,,7.933501103509388,,2.2364988964906116,10.17,48.0,49.88,,,True,,,,,,,,,190,2016-11-29,0.26558534458835936,20,,Unknown,71,,2016-11-29,,,,,177.44675157894736,1.4521210199787582,180.02349315789473,,,,,46.330723684210525,1.7177063645671176,47.126549473684214,48.4857,48.0,DOV
1,,,,30.0,59793718.45,2017-03-01,False,670,31.5015,0.18200438951402553,2017-04-27,28.9524,stop,-7.848767417284875,-7.907995610485974,31.43,40,28.9814,,,,,,,,-0.05922819320109962,,-8.0307718067989,-8.09,28.9,31.13,,,True,,,,,,,,,190,2017-02-28,0.1815490078570292,20,,Unknown,115,,2017-02-28,,,,,184.47575052631578,1.4541811437512875,187.15836210526314,,,,,28.504894736842108,1.6357301516083167,28.971157894736844,31.1,28.9814,TDC
1,,,,30.0,120558679.6,2017-02-27,False,541,66.3463,0.234738033499859,2017-05-23,78.1817,timeout,16.394343146578304,18.07473803349986,67.62,60,61.0386,,,,,,,,1.6803948869215546,,16.159605113078445,17.84,52.82,56.97,,,True,,,,,,,,,190,2017-02-24,2.294138763757747,20,,Unknown,54,,2017-02-24,,,,,184.26554578947366,1.4182829627255034,186.87895263157893,,,,,54.62457894736842,3.7124217264832504,56.65247368421052,66.19,61.0386,QRVO
1,,,,30.0,140882680.15,2017-02-27,False,668,277.277,0.20999638627797346,2017-05-23,296.0936,timeout,5.319601499356419,6.9999963862779735,275.69,60,255.0948,,,,,,,,1.6803948869215546,,5.1096051130784454,6.79,248.55,273.99,,,True,,,,,,,,,190,2017-02-24,1.3649506943344658,20,,Unknown,13,,2017-02-24,,,,,184.26554578947366,1.4182829627255034,186.87895263157893,,,,,245.77810526315787,2.783233657059969,252.61868421052634,276.33,255.0948,ULTA
1,,,,30.0,69520260.44,2017-03-09,False,676,40.9675,0.20673839153120488,2017-06-05,42.0332,timeout,-0.6515792740247051,2.806738391531205,41.0289,60,38.34,,,,,,,,3.45831766555591,,-0.8583176655559099,2.6,38.34,41.75,,,True,,,,,,,,,190,2017-03-08,1.058617847017218,20,,Unknown,88,,2017-03-08,,,,,185.17245684210525,1.5253393886009103,187.9969652631579,,,,,37.14453684210527,2.5839572356181284,38.10433578947369,40.9344,38.34,GRMN
1,,,,30.0,143371360.98,2017-05-23,False,728,217.0273,0.18197650716296465,2017-08-01,199.4654,stop,-11.438971425443189,-7.908023492837035,215.8856,48,199.6651,,,,,,,,3.5309479326061544,,-11.620947932606153,-8.09,192.34,209.81,,,True,,,,,,,,,190,2017-05-22,0.5081376293173401,20,,Unknown,16,,2017-05-22,,,,,192.11812736842106,1.1668026876950899,194.35976684210527,,,,,192.94883894736842,1.67494031701243,196.18061684210525,216.5489,199.6651,MLM
1,,,,30.0,326839809.25,2017-06-05,False,736,68.3846,0.19496045815792096,2017-08-29,66.668,timeout,-3.156914355256346,-2.315039541842079,66.4104,60,62.95,,,,,,,,0.8418748134142673,,-3.351874813414267,-2.51,62.95,67.52,,,True,,,,,,,,,190,2017-06-02,1.467129836799308,20,,Unknown,53,,2017-06-02,,,,,193.03323210526318,1.1960716630464052,195.34204789473682,,,,,59.95002631578947,2.663201499845713,61.54661631578947,68.232,62.95,ADI
1,,,,100.0,228087401.49,2017-11-14,False,850,89.7509,0.1819361717169814,2017-12-01,82.4882,stop,-10.51934640990031,-7.9080638282830185,90.7135,12,82.5708,,,,,,,,2.6112825816172913,,-10.701282581617292,-8.09,82.36,88.27,,,True,,,,,,,,,190,2017-11-13,0.7289380288735936,20,,Unknown,112,,2017-11-13,,,,,208.85343210526315,1.4069037853418287,211.79179894736842,,,,,81.80132210526317,2.1358418142154223,83.54846894736842,89.9712,82.5708,SWKS
1,,,,30.0,71874635.0,2017-09-11,False,677,72.4123,0.19540203816212964,2017-12-05,71.968,timeout,-6.5484422334046055,-0.41459796183787034,72.63,60,66.6194,,,,,,,,6.133844271566735,,-6.7438442715667355,-0.61,64.7,70.27,,,True,,,,,,,,,190,2017-09-08,1.5701455114873308,20,,Unknown,50,,2017-09-08,,,,,202.66750947368422,1.3392934262763,205.38182210526315,,,,,65.1653947368421,2.909438937763631,67.06134210526317,71.61,66.6194,QRVO
1,,,,30.0,180440179.53,2017-11-02,False,842,130.7686,0.20096296352024678,2018-01-31,133.5233,timeout,-7.685819107101754,2.3109629635202467,128.6215,60,120.78,,,,,,,,9.996782070622,,-7.886782070622001,2.11,120.78,126.06,,,True,,,,,,,,,190,2017-11-01,0.21741823073915256,20,,Unknown,27,,2017-11-01,,,,,207.70782263157892,1.4040266374885313,210.6240957894737,,,,,119.62725578947368,1.6214448682276839,121.56694578947369,130.3881,120.78,CB
1,,,,30.0,157546247.19,2018-02-05,False,905,82.3842,0.18203583573909476,2018-02-09,75.7177,stop,-6.987268383587885,-7.907964164260905,79.1876,4,75.7935,,,,,,,,-0.9206957806730198,,-7.16930421932698,-8.09,74.37,77.64,,,True,,,,,,,,,190,2018-02-02,1.3014492082966678,20,,Unknown,44,,2018-02-02,,,,,216.87432368421054,2.0017581611023294,221.21562315789473,,,,,69.64715631578947,3.303207369398997,71.94774631578947,83.0515,75.7935,STT
1,,,,70.0,521656920.33,2018-03-15,False,931,76.6966,0.1859030517910929,2018-03-20,72.4375,stop,-4.285950933546712,-5.364096948208907,76.33,3,72.51,,,,,,,,-1.0781460146621957,,-4.471853985337804,-5.55,72.51,80.5,,,True,,,,,,,,,190,2018-03-14,1.10052511076848,20,,Unknown,109,,2018-03-14,,,,,222.09490000000002,1.4841152185512962,225.3910442105263,,,,,65.1806052631579,2.584640329319776,66.86528947368421,76.7,72.51,ESRX
1,,,,70.0,281542399.55,2018-02-27,False,920,255.1126,0.21115058919001317,2018-05-23,271.0277,timeout,6.4420605555195465,6.451150589190013,256.9922,60,234.7036,,,,,,,,0.009090033670466902,,6.230909966329533,6.24,224.22,243.22,,,True,,,,,,,,,190,2018-02-26,0.39949085522779093,20,,Unknown,33,,2018-02-26,,,,,220.15098368421053,1.527211460228739,223.5131547368421,,,,,226.55093473684212,1.92670231545653,230.91589684210527,254.8206,234.7036,HUM
1,,,,30.0,110794971.55,2018-05-24,False,852,204.1339,0.2359339041971964,2018-08-20,244.5852,timeout,14.867941652956416,20.055933904197197,202.37,60,189.42,,,,,,,,5.187992251240781,,14.63200774875922,19.82,189.42,202.26,,,True,,,,,,,,,190,2018-05-23,1.7830104006464786,20,,Unknown,17,,2018-05-23,,,,,228.79878736842105,1.0670612313882,231.2402105263158,,,,,169.21273684210527,2.8500716320346786,174.0354210526316,204.16,189.42,IDXX
1,,,,100.0,63352742.49,2018-05-30,False,984,41.7707,0.2299290268154479,2018-08-23,48.7532,timeout,11.644457168514432,16.949929026815447,42.1688,60,38.4291,,,,,,,,5.305471858301014,,11.414528141698984,16.72,37.32,41.06,,,True,,,,,,,,,190,2018-05-29,2.122741342322576,20,,Unknown,238,,2018-05-29,,,,,229.10348105263157,1.1153273064513192,231.6587347368421,,,,,35.452452105263156,3.238068648773895,36.600426842105264,41.5862,38.4291,CTAS
