attempt,edge_rank,fill_date,fill_idx,pattern_stop,pivot,positive_relative_ma_slope,relative_ma_missing_reason,relative_ma_period,relative_ma_signal_date,relative_ma_slope_pct,relative_ma_slope_sessions,sector,signal_date,spy_ma_20_sessions_ago,spy_ma_slope_pct,spy_ma_value,stock_ma_20_sessions_ago,stock_ma_slope_pct,stock_ma_value,stock_signal_close,symbol
1,30.0,2016-10-12,575,12.51,13.35,True,,120,2016-10-11,0.8973416355002373,20,Unknown,2016-10-11,179.43249916666667,0.8516452373067196,180.96062750000002,12.127878333333333,1.7489868728069569,12.339993333333332,13.1611,AVGO
1,30.0,2016-12-23,626,45.47,49.68,True,,120,2016-12-22,0.1283794098874136,20,Unknown,2016-12-22,183.02137416666667,1.3701086433670628,185.52896583333333,49.18135083333333,1.4984880532544764,49.918327500000004,55.083,EMN
1,30.0,2017-02-27,541,52.82,56.97,True,,120,2017-02-24,1.7189076206842513,20,Unknown,2017-02-24,187.63801666666666,1.220305746498962,189.92777416666667,55.30958333333333,2.9392133671832132,56.93525,66.19,QRVO
1,30.0,2017-06-05,736,62.95,67.52,True,,120,2017-06-02,0.7393436127816289,20,Unknown,2017-06-02,198.24815166666667,1.6257423534953297,201.47115583333334,64.22596,2.3650859662769586,65.74495916666666,68.232,ADI
1,30.0,2017-07-24,770,30.58,33.4,True,,120,2017-07-21,0.7679514083236416,20,Unknown,2017-07-21,203.44782083333334,1.341894441934821,206.17787583333333,31.4867,2.1098458502584627,32.151020833333334,32.7031,GT
1,30.0,2017-09-11,677,64.7,70.27,True,,120,2017-09-08,0.3284576389776861,20,Unknown,2017-09-08,208.02305166666667,0.7041150751954772,209.48777333333334,69.54312499999999,1.0325727141731633,70.26120833333333,71.61,QRVO
1,30.0,2017-10-02,819,59.17,62.07,True,,120,2017-09-29,2.703134193853507,20,Unknown,2017-09-29,209.08967666666666,1.0691465191578153,211.32515166666664,56.157781666666665,3.7722807130113223,58.27621083333334,65.8165,PRGO
1,30.0,2017-11-02,842,120.78,126.06,True,,120,2017-11-01,0.32863441537691607,20,Unknown,2017-11-01,211.78802,1.396623299718902,214.74590083333334,122.55159416666667,1.7252577150958182,124.665925,130.3881,CB
1,30.0,2018-02-05,905,74.37,77.64,True,,120,2018-02-02,0.3589849506729026,20,Unknown,2018-02-02,222.03463,2.325601941763167,227.19827166666667,72.72081,2.6845868924360694,74.67306333333333,83.0515,STT
1,70.0,2018-03-15,931,72.51,80.5,True,,120,2018-03-14,1.7235910105761532,20,Unknown,2018-03-14,228.30906083333332,1.8028376323055317,232.42510249999998,67.06029166666666,3.526428642881685,69.425125,76.7,ESRX
1,30.0,2018-04-26,693,31.95,34.48,True,,120,2018-04-25,1.5300850137905053,20,Unknown,2018-04-25,233.704325,0.704163975855665,235.34998666666667,32.245510833333334,2.2342489896461704,32.96595583333333,33.9644,MGM
1,30.0,2018-05-24,852,189.42,202.26,True,,120,2018-05-23,3.9103303970776215,20,Unknown,2018-05-23,235.34998666666667,0.7761423143484159,237.1766375,175.92833333333334,4.686472711426037,184.17316666666665,204.16,IDXX
1,100.0,2018-05-30,984,37.32,41.06,True,,120,2018-05-29,2.2798446303502473,20,Unknown,2018-05-29,235.57661166666668,0.7650805487785739,237.3789625,37.51175916666667,3.044925179128821,38.65396416666667,41.5862,CTAS
