attempt,diagnostic_exit_idx,divergence_missing_reason,divergence_signal_date,edge_rank,entry_adv_dollars,entry_date,entry_day_stop,entry_idx,entry_price,estimated_cost_drag_pct,exit_date,exit_price,exit_reason,gross_excess_vs_spy_pct,gross_return_pct,highest_close,hold_sessions,initial_stop,ma50_20_sessions_ago,ma50_missing_reason,ma50_period,ma50_signal_date,ma50_slope_pct,ma50_slope_sessions,ma50_value,matched_spy_return_pct,model_exit_idx,net_excess_vs_spy_pct,net_return_pct,pattern_stop,pivot,positive_ma50_slope,positive_relative_ma50_slope,positive_relative_ma_slope,positive_rs_divergence,relative_divergence_pct,relative_ma50_missing_reason,relative_ma50_period,relative_ma50_signal_date,relative_ma50_slope_pct,relative_ma50_slope_sessions,relative_ma_missing_reason,relative_ma_period,relative_ma_signal_date,relative_ma_slope_pct,relative_ma_slope_sessions,rs_divergence_lookback,sector,shares,signal_close,signal_date,spy_lookback_return_pct,spy_ma50_20_sessions_ago,spy_ma50_slope_pct,spy_ma50_value,spy_ma_20_sessions_ago,spy_ma_slope_pct,spy_ma_value,stock_lookback_return_pct,stock_ma50_20_sessions_ago,stock_ma50_slope_pct,stock_ma50_value,stock_ma_20_sessions_ago,stock_ma_slope_pct,stock_ma_value,stock_signal_close,stop,symbol,trailing_armed_date
1,,,,88.01053151836554,352023820.54,2022-06-15,False,618,214.4638,0.18001082663796808,2022-06-16,196.9125,stop,-4.690367905148418,-7.999989173362032,204.0779,1,197.1096,,,,,,,,-3.309621268213614,,-4.870378731786386,-8.18,0.0,,,,True,,,,,,,,,60,2022-06-14,5.510531518365536,10,,Materials,46,,2022-06-14,,,,,402.0222233333334,-0.9578094053457775,398.1716166666665,,,,,202.1726,4.552722113019758,211.37695666666696,211.9059,197.1096,ALB,
1,,,,86.52591518566466,1656045827.74,2022-06-15,False,618,57.4872,0.1800815327079217,2022-06-16,52.7826,stop,-4.690297199078464,-7.999918467292078,56.5943,1,52.8354,,,,,,,,-3.309621268213614,,-4.870378731786386,-8.18,0.0,,,,True,,,,,,,,,60,2022-06-14,4.0259151856646636,10,,Energy,173,,2022-06-14,,,,,402.0222233333334,-0.9578094053457775,398.1716166666665,,,,,55.9878566666666,3.068105780318886,57.70562333333325,58.2936,52.8354,OXY,
1,,,,84.91053833524614,71668271.45,2022-06-16,False,619,31.4915,0.18002059757866817,2022-07-05,28.9143,stop,-12.6256552612399,-7.9999794024213315,32.32,11,28.9432,,,,,,,,4.625675858818568,,-12.805675858818567,-8.18,0.0,,,,True,,,,,,,,,60,2022-06-15,2.4105383352461374,10,,Unknown,306,,2022-06-15,,,,,401.88786666666664,-1.1798651796405712,397.1461316666663,,,,,30.958666666666613,1.2306731556055661,31.339666666666684,32.34,28.9432,DXC,
1,,,,84.07534001905486,125129644.22,2022-06-15,False,618,96.5883,0.1800092608990287,2022-07-11,88.6837,stop,-9.764146031706556,-7.999990739100971,95.7813,16,88.7725,,,,,,,,1.7641552926055848,,-9.944155292605585,-8.18,0.0,,,,True,,,,,,,,,60,2022-06-14,1.5753400190548605,10,,Industrials,102,,2022-06-14,,,,,402.0222233333334,-0.9578094053457775,398.1716166666665,,,,,95.04225166666656,0.617530613709083,95.62916666666666,96.8836,88.7725,CHRW,
1,,,,83.61945133772535,520905957.83,2022-06-15,False,618,170.1821,0.17999425452043383,2022-07-14,156.2547,stop,-8.090309038252808,-8.000005745479566,180.1224,19,156.4111,,,,,,,,0.09030329277324167,,-8.270303292773242,-8.18,0.0,,,,True,,,,,,,,,60,2022-06-14,1.1194513377253523,10,,Industrials,58,,2022-06-14,,,,,402.0222233333334,-0.9578094053457775,398.1716166666665,,,,,156.04036833333328,0.1616419323795748,156.29259499999947,169.4227,156.4111,FDX,
1,,,,85.13593142772045,450059559.65,2022-06-16,False,619,397.4771,0.17999879923326212,2022-08-03,364.9483,stop,-21.525268661843544,-8.000001200766738,411.27,32,365.3136,,,,,,,,13.525267461076806,,-21.705267461076808,-8.18,0.0,,,,True,,,,,,,,,60,2022-06-15,2.6359314277204504,10,,Consumer Discretionary,24,,2022-06-15,,,,,401.88786666666664,-1.1798651796405712,397.1461316666663,,,,,391.9006666666673,1.4560662480798792,397.6070000000007,405.61,365.3136,ULTA,
1,,,,83.48061995408708,601213336.58,2022-08-03,False,651,438.1063,0.17998039519406994,2022-09-06,402.2524,stop,-2.2839877445139045,-8.00001960480593,474.2742,23,402.6551,,,,,,,,-5.716031860292025,,-2.4639681397079745,-8.18,0.0,,,,True,,,,,,,,,60,2022-08-02,0.9806199540870697,10,,Information Technology,20,,2022-08-02,,,,,374.5529850000011,-0.7185311845802067,371.8617050000001,,,,,382.29032166666633,0.262088769506863,383.2922616666663,433.3062,402.6551,INTU,
1,,,,85.58484846386737,114022541.08,2022-07-14,False,637,48.2856,0.17781597343651612,2022-09-22,43.9908,stop,-8.14251921513881,-8.712184026563484,52.4707,49,44.3784,,,,,,,,-0.569664811424675,,-8.320335188575326,-8.89,0.0,,,,True,,,,,,,,,60,2022-07-13,3.0848484638673734,10,,Industrials,188,,2022-07-13,,,,,387.8090000000006,-2.5181708865274266,378.04330666666743,,,,,48.95817500000012,0.5666775773399468,49.235609999999966,49.313,44.3784,MAS,
1,,,,85.33304388267695,920875869.63,2022-07-11,False,634,56.0438,0.18003857271922286,2022-09-27,51.4573,stop,-2.962030951385774,-7.999961427280777,57.9699,55,51.5088,,,,,,,,-5.037930475895003,,-3.142069524104997,-8.18,0.0,,,,True,,,,,,,,,60,2022-07-08,2.8330438826769444,10,,Consumer Staples,177,,2022-07-08,,,,,391.0740983333332,-2.6459900337980513,380.7263166666676,,,,,55.973186666666514,0.1870538488788931,56.077886666666686,56.1211,51.5088,KO,
1,,,,85.59089465972437,430153353.4,2022-06-16,False,619,180.18,0.2677833388944322,2022-10-13,236.8729,armed_trailing_stop,31.07026673121085,31.727783338894433,320.62,82,165.6,,,,,,,,0.6575166076835837,,30.802483392316418,31.46,0.0,,,,True,,,,,,,,,60,2022-06-15,3.0908946597243636,10,,Unknown,53,,2022-06-15,,,,,401.88786666666664,-1.1798651796405712,397.1461316666663,,,,,177.58316666666676,1.9110294800837924,180.9768333333331,188.48,243.6712,ENPH,2022-07-27
1,,,,85.057362988002,526718302.11,2022-06-16,False,619,215.6591,0.18002059566064688,2023-02-23,198.01,stop,-18.704750864292652,-7.999979404339353,242.0779,172,198.2082,,,,,,,,10.7047714599533,,-18.8847714599533,-8.18,0.0,,,,True,,,,,,,,,60,2022-06-15,2.557362988001999,10,,Consumer Staples,44,,2022-06-15,,,,,401.88786666666664,-1.1798651796405712,397.1461316666663,,,,,210.6224766666671,1.3774978083614275,213.52379666666698,214.8977,198.2082,DG,
1,,,,85.25143029920974,95878244.92,2022-06-15,False,618,118.5547,0.21774210035860708,2023-10-03,127.8989,armed_trailing_stop,-5.784964204387078,8.097742100358607,168.4565,326,108.9614,,,,,,,,13.882706304745685,,-6.0027063047456855,7.88,0.0,,,,True,,,,,,,,,60,2022-06-14,2.751430299209745,10,,Consumer Discretionary,83,,2022-06-14,,,,,402.0222233333334,-0.9578094053457775,398.1716166666665,,,,,115.14742833333318,1.7936208938639675,117.21273666666687,117.8668,128.02694,GPC,2022-10-24
1,,,,84.14439551145283,94306517.85,2022-09-22,False,686,72.3496,0.22588625369179383,2023-10-12,81.7187,armed_trailing_stop,-4.53209058434998,13.175886253691793,107.6323,265,66.4951,,,,,,,,17.707976838041773,,-4.757976838041774,12.95,0.0,,,,True,,,,,,,,,60,2022-09-21,1.6443955114528341,10,,Unknown,115,,2022-09-21,,,,,376.3720050000023,0.7443499948938115,379.1735300000015,,,,,70.497115,2.3887455063466456,72.18111166666652,72.2773,81.800548,LW,2023-01-06
1,,,,86.68192572034498,400511799.03,2022-10-13,False,701,42.832,0.37696891512358377,2023-10-18,80.9818,armed_trailing_stop,70.04306732725604,89.44696891512358,106.6617,254,39.3661,,,,,,,,19.403901587867534,,69.66609841213246,89.07,0.0,,,,True,,,,,,,,,60,2022-10-12,4.181925720344982,10,,Consumer Discretionary,236,,2022-10-12,,,,,378.32846000000137,-0.731237172411936,375.56198166666775,,,,,39.54433000000002,3.450688547933045,40.90888166666688,44.1117,81.062892,RCL,2022-11-10
1,,,,86.60797068751245,75395215.4,2022-07-05,False,630,43.6712,0.18016229202510026,2023-10-26,40.0973,stop,-18.15946825179922,-7.9998377079748995,53.6585,331,40.1374,,,,,,,,10.159630543824317,,-18.339630543824317,-8.18,0.0,,,,True,,,,,,,,,60,2022-07-01,4.107970687512452,10,,Unknown,228,,2022-07-01,,,,,395.84142833333317,-2.8915619186682617,384.395428333334,,,,,43.485244999999914,1.2164087688441905,44.01420333333329,44.1715,40.1374,LKQ,
1,,,,83.64585891423499,1241445302.21,2023-10-30,False,963,34.9214,0.2188656111597318,2024-04-08,38.0297,armed_trailing_stop,-16.591858195315837,9.118865611159732,50.0892,109,32.0956,,,,,,,,25.710723806475567,,-16.810723806475565,8.9,0.0,,,,True,,,,,,,,,60,2023-10-27,1.1458589142349984,10,,Information Technology,96,,2023-10-27,,,,,426.21058666666795,-1.0935826433715823,421.54962166666905,,,,,34.76720833333323,0.05227627086341613,34.78538333333321,34.9554,38.067792,INTC,2023-11-20
1,,,,85.19085063116546,767564175.45,2022-09-27,False,689,78.5927,0.20681644089711249,2024-04-12,80.2921,armed_trailing_stop,-41.45356226219328,2.3668164408971126,105.7533,387,72.2331,,,,,,,,43.82037870309039,,-41.66037870309039,2.16,0.0,,,,True,,,,,,,,,60,2022-09-26,2.6908506311654534,10,,Consumer Discretionary,116,,2022-09-26,,,,,377.8686400000021,0.2315443095072922,378.74357333333467,,,,,75.15570999999957,2.9223949406727456,77.35205666666624,77.4548,80.372508,SBUX,2023-01-06
1,,,,82.9292032660403,343763202.93,2024-04-12,False,1076,655.4698,0.18000666081939976,2024-04-19,601.8274,stop,-4.928635157931893,-7.9999933391806,647.2921,5,602.4298,,,,,,,,-3.0713581812487067,,-5.108641818751293,-8.18,0.0,,,,True,,,,,,,,,60,2024-04-11,0.4292032660403011,10,,Information Technology,10,,2024-04-11,,,,,483.10271000000165,1.5793746358132577,490.7327116666682,,,,,655.1221299999995,2.008577901853559,668.2807683333318,672.9683,602.4298,MPWR,
1,,,,83.70830150724794,90786007.55,2022-09-07,False,675,180.9682,0.18872094091104774,2024-04-30,170.9238,armed_trailing_stop,-34.99313937753937,-5.361279059088952,225.1248,413,166.3244,,,,,,,,29.63186031845042,,-35.18186031845042,-5.55,0.0,,,,True,,,,,,,,,60,2022-09-06,1.208301507247933,10,,Information Technology,44,,2022-09-06,,,,,377.2818600000018,-0.2815980427293363,376.21944166666896,,,,,177.62208333333305,0.9267034645185968,179.26811333333316,179.5659,171.09484799999998,VRSN,2023-05-22
1,,,,84.3035935063547,211359308.47,2024-04-30,False,343,80.798,0.17995014693397238,2024-06-11,74.1856,stop,-14.966477243892808,-8.000049853066027,83.0679,29,74.2599,,,,,,,,6.966427390826779,,-15.14642739082678,-8.18,0.0,,,,True,,,,,,,,,60,2024-04-29,1.803593506354706,10,,Health Care,105,,2024-04-29,,,,,491.8599499999999,0.5959260693345403,494.7910716666658,,,,,85.12752666666657,2.3995195756892462,87.17017833333333,88.5858,74.2599,GEHC,
1,,,,85.9470534965767,779491930.65,2024-06-11,False,1117,47.5952,0.18021827387612177,2024-07-23,43.7002,stop,-11.466865137714821,-7.999781726123878,50.153,28,43.7439,,,,,,,,3.4670834115909432,,-11.647083411590943,-8.18,0.0,,,,True,,,,,,,,,60,2024-06-10,3.447053496576702,10,,Materials,164,,2024-06-10,,,,,501.42166166666624,0.6129172780018122,504.49496166666506,,,,,46.56790499999976,4.059970774578514,48.45854833333324,48.6073,43.7439,FCX,
1,,,,84.60095240640898,595409943.56,2024-07-23,False,1145,78.2446,0.1746489729006715,2024-08-02,69.9551,stop,-6.644924649309513,-10.415351027099328,81.0262,8,71.9131,,,,,,,,-3.770426377789815,,-6.819573622210185,-10.59,0.0,,,,True,,,,,,,,,60,2024-07-22,2.1009524064089735,10,,Information Technology,91,,2024-07-22,,,,,512.906296666664,1.7351278504161627,521.8058766666654,,,,,74.19057499999992,3.836080256825136,77.03658499999996,79.6913,71.9131,KLAC,
1,,,,86.09852109734236,245386496.8,2022-06-15,False,618,44.3743,0.2007180732089351,2024-08-08,44.8351,armed_trailing_stop,-43.596096165206305,1.2407180732089351,60.85,539,40.7836,,,,,,,,44.836814238415236,,-43.79681423841524,1.04,0.0,,,,True,,,,,,,,,60,2022-06-14,3.5985210973423554,10,,Consumer Staples,223,,2022-06-14,,,,,402.0222233333334,-0.9578094053457775,398.1716166666665,,,,,41.469250000000166,2.640711691996578,42.564333333333465,44.03,46.246,MNST,2023-04-27
1,,,,84.42055804948697,361070036.8,2023-10-30,False,963,460.7303,0.20934043972709482,2024-09-05,471.7158,armed_trailing_stop,-31.03723814800172,2.5893404397270947,621.3,213,423.4484,,,,,,,,33.626578587728815,,-31.246578587728816,2.38,0.0,,,,True,,,,,,,,,60,2023-10-27,1.9205580494869645,10,,Information Technology,23,,2023-10-27,,,,,426.21058666666795,-1.0935826433715823,421.54962166666905,,,,,452.6938333333339,0.8269754061153822,456.4375000000015,457.0,472.188,SNPS,2024-02-09
1,,,,84.9861956731703,460542186.33,2024-09-05,False,1176,823.9054,0.1800004213434523,2024-10-31,756.4785,stop,-11.779811711164701,-7.999999578656547,930.2261,40,757.2357,,,,,,,,3.7798121325081535,,-11.959812132508153,-8.18,0.0,,,,True,,,,,,,,,60,2024-09-04,2.4861956731702994,10,,Information Technology,13,,2024-09-04,,,,,530.1288883333347,0.9423830902154595,535.1247333333353,,,,,804.2531683333295,3.428578763385759,831.8276216666632,837.6686,757.2357,MPWR,
1,,,,82.882113829371,20047114825.2,2024-10-31,False,1216,258.248,0.27957962392238755,2025-02-06,364.3289,armed_trailing_stop,34.374376099473515,41.359579623922386,479.86,65,237.3508,,,,,,,,6.985203524448869,,34.09479647555113,41.08,0.0,,,,True,,,,,,,,,60,2024-10-30,0.38211382937098914,10,,Consumer Discretionary,38,,2024-10-30,,,,,544.3876350000025,1.356328565397913,551.7713200000018,,,,,224.75099999999898,1.738442394768902,228.65816666666603,257.55,364.6936,TSLA,2024-11-08
1,,,,85.08532321861227,182207394.66,2023-10-30,False,963,65.0425,0.25218173702775815,2025-03-10,83.07,armed_trailing_stop,-9.19972177203454,27.972181737027757,109.412,339,59.7793,,,,,,,,37.1719035090623,,-9.451903509062298,27.72,0.0,,,,True,,,,,,,,,60,2023-10-27,2.5853232186122677,10,,Information Technology,168,,2023-10-27,,,,,426.21058666666795,-1.0935826433715823,421.54962166666905,,,,,61.33215666666656,1.4917405752406854,62.24707333333342,64.2987,83.15312,STX,2023-12-21
