attempt,diagnostic_exit_idx,divergence_missing_reason,divergence_signal_date,edge_rank,entry_adv_dollars,entry_date,entry_day_stop,entry_idx,entry_price,estimated_cost_drag_pct,exit_date,exit_price,exit_reason,gross_excess_vs_spy_pct,gross_return_pct,highest_close,hold_sessions,initial_stop,ma50_20_sessions_ago,ma50_missing_reason,ma50_period,ma50_signal_date,ma50_slope_pct,ma50_slope_sessions,ma50_value,matched_spy_return_pct,model_exit_idx,net_excess_vs_spy_pct,net_return_pct,pattern_stop,pivot,positive_ma50_slope,positive_relative_ma50_slope,positive_relative_ma_slope,positive_rs_divergence,relative_divergence_pct,relative_ma50_missing_reason,relative_ma50_period,relative_ma50_signal_date,relative_ma50_slope_pct,relative_ma50_slope_sessions,relative_ma_missing_reason,relative_ma_period,relative_ma_signal_date,relative_ma_slope_pct,relative_ma_slope_sessions,rs_divergence_lookback,sector,shares,signal_close,signal_date,spy_lookback_return_pct,spy_ma50_20_sessions_ago,spy_ma50_slope_pct,spy_ma50_value,spy_ma_20_sessions_ago,spy_ma_slope_pct,spy_ma_value,stock_lookback_return_pct,stock_ma50_20_sessions_ago,stock_ma50_slope_pct,stock_ma50_value,stock_ma_20_sessions_ago,stock_ma_slope_pct,stock_ma_value,stock_signal_close,stop,symbol,trailing_armed_date
1,,,,82.91535279520069,869583568.56,2022-01-05,False,507,153.9539,0.17783942121288732,2022-01-10,138.9083,stop,-8.97941884543414,-9.592160578787112,149.8833,3,141.4961,,,,,,,,-0.6127417333529728,,-9.157258266647027,-9.77,0.0,,,,True,,,,,,,,,60,2022-01-04,0.41535279520068524,10,,Consumer Discretionary,65,,2022-01-04,,,,,427.2459216666679,1.4946555780072757,433.6317766666674,,,,,150.75265499999975,1.910008373207961,153.63204333333306,153.7077,141.4961,NKE,
1,,,,82.66326574356253,187825677.35,2022-01-04,False,506,193.574,0.180020881120603,2022-01-14,177.7323,stop,-5.313347581092187,-7.999979118879397,195.7603,8,177.9102,,,,,,,,-2.6866315377872096,,-5.49336846221279,-8.18,0.0,,,,True,,,,,,,,,60,2022-01-03,0.1632657435625351,10,,Information Technology,51,,2022-01-03,,,,,427.0479500000011,1.3903286504477252,432.98532000000074,,,,,176.78091166666698,1.5535943940102603,179.52737000000053,192.8257,177.9102,CDW,
1,,,,82.66399659439614,374762612.27,2022-01-07,False,509,217.6389,0.1800310861962764,2022-01-14,199.8278,stop,-7.706024966321889,-7.999968913803723,219.9322,5,200.0278,,,,,,,,-0.29394394748183394,,-7.886056052518166,-8.18,0.0,,,,True,,,,,,,,,60,2022-01-06,0.163996594396143,10,,Consumer Staples,45,,2022-01-06,,,,,428.14697500000085,1.5412947076565375,434.74598166666743,,,,,202.4352083333324,1.7052913020526805,205.88731833333296,217.6523,200.0278,DG,
1,,,,82.52035666683722,138468367.65,2022-01-05,False,507,110.2902,0.17995206385619333,2022-01-18,101.2642,stop,-5.461517295540064,-8.000047936143806,106.72,8,101.3656,,,,,,,,-2.5385306406037422,,-5.6414693593962575,-8.18,0.0,,,,True,,,,,,,,,60,2022-01-04,0.02035666683721793,10,,Real Estate,90,,2022-01-04,,,,,427.2459216666679,1.4946555780072757,433.6317766666674,,,,,101.53933333333303,1.5150122448444936,103.07766666666649,110.3,101.3656,CBRE,
1,,,,84.33059411025077,290545734.85,2022-01-07,False,509,342.0117,0.18000259431851973,2022-01-18,314.0221,stop,-5.9403147675510795,-7.99999740568148,340.38,6,314.3364,,,,,,,,-2.0596826381304,,-6.120317361869599,-8.18,0.0,,,,True,,,,,,,,,60,2022-01-06,1.8305941102507717,10,,Information Technology,28,,2022-01-06,,,,,428.14697500000085,1.5412947076565375,434.74598166666743,,,,,332.63749999999976,3.371888817907309,343.8536666666662,344.97,314.3364,SNPS,
1,,,,83.42246599021833,266274337.39,2022-01-14,False,514,97.3119,0.17836545840385298,2022-01-19,87.8703,stop,-6.730711257053345,-9.521634541596146,96.919,2,89.4375,,,,,,,,-2.790923284542801,,-6.909076715457198,-9.7,0.0,,,,True,,,,,,,,,60,2022-01-13,0.9224659902183241,10,,Consumer Discretionary,101,,2022-01-13,,,,,431.6967583333341,1.154228032482063,436.6795233333338,,,,,95.02900500000003,2.076694022700387,97.00246666666668,97.2595,89.4375,LEN,
1,,,,82.5817156762433,198360122.81,2022-01-04,False,506,49.8596,0.18003620175461954,2022-01-20,45.7792,stop,-1.5503789776245451,-7.99996379824538,50.8782,11,45.825,,,,,,,,-6.449584820620835,,-1.7304151793791647,-8.18,0.0,,,,True,,,,,,,,,60,2022-01-03,0.08171567624331022,10,,Information Technology,200,,2022-01-03,,,,,427.0479500000011,1.3903286504477252,432.98532000000074,,,,,42.76490333333349,1.4720443266910355,43.39442166666674,49.6066,45.825,WDC,
1,,,,82.75136585473105,134340145.92,2022-01-19,False,516,14.3028,0.18392582811297764,2022-01-21,12.9587,stop,-6.167941225071482,-9.216074171887023,13.994,2,13.1454,,,,,,,,-3.0481329468155405,,-6.35186705318446,-9.4,0.0,,,,True,,,,,,,,,60,2022-01-18,0.2513658547310449,10,,Financials,621,,2022-01-18,,,,,432.98532000000074,0.9197694431456016,436.967786666667,,,,,12.774356666666653,1.1711352978766465,12.923961666666644,14.2721,13.1454,HBAN,
1,,,,83.07228862454023,165676061.62,2022-01-07,False,509,168.7777,0.1800336779330678,2022-01-24,154.9653,stop,-2.3679902553201515,-7.999966322066932,170.2281,10,155.1204,,,,,,,,-5.63197606674678,,-2.5480239332532193,-8.18,0.0,,,,True,,,,,,,,,60,2022-01-06,0.5722886245402403,10,,Real Estate,58,,2022-01-06,,,,,428.14697500000085,1.5412947076565375,434.74598166666743,,,,,165.11146166666634,2.113583332196778,168.60122999999948,169.8719,155.1204,ARE,
1,,,,82.59603368145406,188476055.67,2022-01-07,False,509,306.5698,0.17997022691887032,2022-01-24,281.4806,stop,-2.368053706334349,-8.00002977308113,309.4439,10,281.7624,,,,,,,,-5.63197606674678,,-2.5480239332532193,-8.18,0.0,,,,True,,,,,,,,,60,2022-01-06,0.09603368145405522,10,,Industrials,32,,2022-01-06,,,,,428.14697500000085,1.5412947076565375,434.74598166666743,,,,,290.02469499999955,1.6373283891105928,294.773351666666,305.8955,281.7624,PH,
