attempt,edge_rank,fill_date,fill_idx,ma50_20_sessions_ago,ma50_missing_reason,ma50_period,ma50_signal_date,ma50_slope_pct,ma50_slope_sessions,ma50_value,pattern_stop,pivot,positive_ma50_slope,sector,signal_close,signal_date,symbol
1,30.0,2016-10-12,575,12.784396,,50,2016-10-11,2.88747313521891,20,13.153542,12.51,13.35,True,Unknown,13.1611,2016-10-11,AVGO
1,30.0,2016-10-14,577,55.565648,,50,2016-10-13,6.2031635085043835,20,59.012476,58.04,62.73,True,Unknown,62.347,2016-10-13,SWKS
1,30.0,2016-10-14,577,55.565648,,50,2016-10-13,6.2031635085043835,20,59.012476,58.27,62.73,True,Unknown,62.347,2016-10-13,SWKS
1,30.0,2016-11-10,596,76.757766,,50,2016-11-09,0.34290732223758447,20,77.020974,73.49,81.64,True,Unknown,80.8239,2016-11-09,VRSN
1,30.0,2016-12-07,614,15.47856,,50,2016-12-06,0.6329270939932519,20,15.576528000000001,14.3,16.23,True,Unknown,15.6771,2016-12-06,HRB
1,30.0,2016-12-23,626,49.563468,,50,2016-12-22,5.949442440145636,20,52.512218000000004,45.47,49.68,True,Unknown,55.083,2016-12-22,EMN
1,30.0,2017-01-31,650,60.262092,,50,2017-01-30,0.09558911429758954,20,60.319696,58.81,60.89,True,Unknown,60.6765,2017-01-30,HAS
1,70.0,2017-02-17,663,78.34055599999999,,50,2017-02-16,0.8097619322487537,20,78.974928,73.49,81.64,True,Unknown,80.6958,2017-02-16,VRSN
1,30.0,2017-02-27,541,55.643,,50,2017-02-24,8.22673112520893,20,60.220600000000005,52.82,56.97,True,Unknown,66.19,2017-02-24,QRVO
1,30.0,2017-02-27,668,258.5272,,50,2017-02-24,2.872657113061994,20,265.9538,248.55,273.99,True,Unknown,276.33,2017-02-24,ULTA
1,30.0,2017-03-01,670,27.946399999999997,,50,2017-02-28,4.713308333094801,20,29.2636,28.9,31.13,True,Unknown,31.1,2017-02-28,TDC
1,30.0,2017-03-09,676,38.994888,,50,2017-03-08,0.6311340091552431,20,39.240998,38.34,41.75,True,Unknown,40.9344,2017-03-08,GRMN
1,30.0,2017-05-23,728,201.196526,,50,2017-05-22,2.4659322398041805,20,206.157896,192.34,209.81,True,Unknown,216.5489,2017-05-22,MLM
1,30.0,2017-07-24,770,31.703577999999997,,50,2017-07-21,0.049527532822946085,20,31.719279999999998,30.58,33.4,True,Unknown,32.7031,2017-07-21,GT
1,30.0,2017-09-22,813,31.051188000000003,,50,2017-09-21,1.2997892383376453,20,31.454787999999997,30.14,32.28,True,Unknown,32.2516,2017-09-21,TJX
1,30.0,2017-10-02,819,58.066787999999995,,50,2017-09-29,5.5734751507178215,20,61.303126,59.17,62.07,True,Unknown,65.8165,2017-09-29,PRGO
1,30.0,2017-11-02,842,123.82077,,50,2017-11-01,1.1939967745314473,20,125.299186,120.78,126.06,True,Unknown,130.3881,2017-11-01,CB
1,100.0,2017-11-14,850,84.969372,,50,2017-11-13,2.2482877712689087,20,86.879728,82.36,88.27,True,Unknown,89.9712,2017-11-13,SWKS
1,70.0,2017-11-20,854,42.249759999999995,,50,2017-11-17,2.24383759813076,20,43.197776000000005,39.67,42.03,True,Unknown,43.7719,2017-11-17,SYY
1,70.0,2017-12-08,867,17.28702,,50,2017-12-07,3.6632571721441964,20,17.920288,17.48,18.23,True,Unknown,18.1733,2017-12-07,JEF
1,30.0,2017-12-08,867,17.28702,,50,2017-12-07,3.6632571721441964,20,17.920288,17.48,18.23,True,Unknown,18.1733,2017-12-07,JEF
1,100.0,2018-01-05,885,72.932866,,50,2018-01-04,2.9008101779518514,20,75.04851,71.19,75.1,True,Unknown,77.2976,2018-01-04,PRU
1,30.0,2018-02-05,905,73.060418,,50,2018-02-02,6.485681480771155,20,77.798884,74.37,77.64,True,Unknown,83.0515,2018-02-02,STT
1,30.0,2018-02-06,777,157.0162,,50,2018-02-05,6.214645367802807,20,166.77419999999998,154.88,165.77,True,Unknown,180.36,2018-02-05,IDXX
1,85.0,2018-02-26,919,31.432280000000002,,50,2018-02-23,2.2328319803717633,20,32.13411,30.57,32.87,True,Unknown,33.391,2018-02-23,ADM
1,70.0,2018-02-27,920,236.85374,,50,2018-02-26,4.016101244590864,20,246.36602599999998,224.22,243.22,True,Unknown,254.8206,2018-02-26,HUM
1,30.0,2018-05-24,852,192.27540000000002,,50,2018-05-23,2.871610200784902,20,197.7968,189.42,202.26,True,Unknown,204.16,2018-05-23,IDXX
1,100.0,2018-05-30,984,39.397296000000004,,50,2018-05-29,1.8844694316076938,20,40.139726,37.32,41.06,True,Unknown,41.5862,2018-05-29,CTAS
