attempt,diagnostic_exit_idx,divergence_missing_reason,divergence_signal_date,edge_rank,entry_adv_dollars,entry_date,entry_day_stop,entry_idx,entry_price,estimated_cost_drag_pct,exit_date,exit_price,exit_reason,gross_excess_vs_spy_pct,gross_return_pct,highest_close,hold_sessions,initial_stop,ma50_20_sessions_ago,ma50_missing_reason,ma50_period,ma50_signal_date,ma50_slope_pct,ma50_slope_sessions,ma50_value,matched_spy_return_pct,model_exit_idx,net_excess_vs_spy_pct,net_return_pct,pattern_stop,pivot,positive_ma50_slope,positive_rs_divergence,relative_divergence_pct,rs_divergence_lookback,sector,shares,signal_close,signal_date,spy_lookback_return_pct,stock_lookback_return_pct,stop,symbol
1,,,,30.0,117099938.64,2022-02-02,False,526,73.0683,0.18240947171348498,2022-02-16,67.5424,stop,-5.027088250147426,-7.377590528286515,73.6682,10,67.61,71.26647,,50,2022-02-01,1.7584959659149746,20,72.519688,-2.3505022781390883,,-5.209497721860911,-7.56,67.61,72.56,True,,,,Unknown,49,73.0784,2022-02-01,,,67.61,ES
1,,,,85.0,121329730.54,2022-02-08,False,530,107.5879,0.18191885106182681,2022-02-23,98.8818,stop,-1.4792755521183976,-7.908081148938173,109.0927,10,98.9808,105.10628000000001,,50,2022-02-07,-0.09149405725330517,20,105.01011399999999,-6.4288055968197755,,-1.6611944031802244,-8.09,98.04,104.92,False,,,,Unknown,93,106.8791,2022-02-07,,,98.9808,NTRS
1,,,,80.0,177386465.95,2022-02-02,False,526,14.778,0.1815644294991845,2022-03-01,13.5821,stop,-1.9239720445452297,-7.908435570500815,15.0235,18,13.5957,13.278912,,50,2022-02-01,4.597590525488826,20,13.889422,-5.984463525955586,,-2.1055364740444142,-8.09,12.79,13.83,True,,,,Unknown,656,14.8294,2022-02-01,,,13.5957,HPE
1,,,,30.0,149258606.78,2022-02-23,False,540,72.6352,0.18446384111272174,2022-03-01,67.0928,stop,-9.348610254753286,-7.445536158887278,71.4738,4,67.16,66.979736,,50,2022-02-22,4.069009767372012,20,69.705148,1.9030740958660086,,-9.53307409586601,-7.63,67.16,70.59,True,,,,Unknown,49,72.2723,2022-02-22,,,67.16,LYB
1,,,,70.0,148132895.24,2022-02-25,False,542,70.1799,0.18193933153355601,2022-03-07,64.5009,stop,-3.723032385244318,-7.908060668466444,71.8931,6,64.5655,61.613894,,50,2022-02-24,7.2360789272627235,20,66.072324,-4.185028283222126,,-3.904971716777874,-8.09,61.83,68.1,True,,,,Unknown,42,70.0757,2022-02-24,,,64.5655,OMC
1,,,,70.0,166987285.09,2022-03-28,False,563,201.2422,0.1820591634785682,2022-04-01,184.9578,stop,-7.252106898387488,-7.907940836521432,201.166,4,185.1429,188.126842,,50,2022-03-25,1.1378344404463059,20,190.267414,-0.6558339381339429,,-7.4341660618660566,-8.09,177.61,191.35,True,,,,Unknown,41,200.83,2022-03-25,,,185.1429,JBHT
1,,,,30.0,117565550.95,2022-04-07,False,571,54.6946,0.18215944213547886,2022-05-06,50.2688,stop,0.4327328565577151,-7.907840557864521,53.4,20,50.3191,54.377399999999994,,50,2022-04-06,0.6201105606373325,20,54.7146,-8.340573414422236,,0.25057341442223624,-8.09,48.73,57.6,True,,,,Unknown,64,55.04,2022-04-06,,,50.3191,ALK
1,,,,30.0,401713508.98,2022-05-03,False,588,171.7908,0.18206505546005936,2022-05-09,157.8896,stop,-3.534517335754117,-7.9079349445399405,166.23,4,158.0476,160.67688,,50,2022-05-02,2.5127423435157503,20,164.71427599999998,-4.373417608785823,,-3.7165823912141764,-8.09,155.3,172.24,True,,,,Unknown,20,171.1293,2022-05-02,,,158.0476,MAR
1,,,,100.0,108723190.85,2022-02-25,False,542,94.9835,0.18196288783794135,2022-05-10,87.2974,stop,0.6402478191771648,-7.9080371121620585,96.8337,51,87.3848,91.129476,,50,2022-02-24,1.0612592571036084,20,92.096596,-8.548284931339223,,0.45828493133922343,-8.09,84.45,92.04,True,,,,Unknown,103,94.1278,2022-02-24,,,87.3848,BXP
1,,,,30.0,758832837.34,2022-04-28,False,585,203.9291,0.18202101594603448,2022-05-11,187.4272,stop,0.2872693806706401,-7.907978984053965,205.4287,9,187.6148,185.5783,,50,2022-04-27,2.9634316081136536,20,191.077786,-8.195248364724605,,0.10524836472460564,-8.09,178.11,199.17,True,,,,Unknown,17,200.7185,2022-04-27,,,187.6148,TGT
