attempt,edge_rank,fill_date,fill_idx,ma50_20_sessions_ago,ma50_missing_reason,ma50_period,ma50_signal_date,ma50_slope_pct,ma50_slope_sessions,ma50_value,pattern_stop,pivot,positive_ma50_slope,sector,signal_close,signal_date,symbol
1,80.0,2022-02-02,526,13.278912,,50,2022-02-01,4.597590525488826,20,13.889422,12.79,13.83,True,Unknown,14.8294,2022-02-01,HPE
1,30.0,2022-02-02,526,71.26647,,50,2022-02-01,1.7584959659149746,20,72.519688,67.61,72.56,True,Unknown,73.0784,2022-02-01,ES
1,30.0,2022-02-23,540,66.979736,,50,2022-02-22,4.069009767372012,20,69.705148,67.16,70.59,True,Unknown,72.2723,2022-02-22,LYB
1,100.0,2022-02-25,542,91.129476,,50,2022-02-24,1.0612592571036084,20,92.096596,84.45,92.04,True,Unknown,94.1278,2022-02-24,BXP
1,70.0,2022-02-25,542,61.613894,,50,2022-02-24,7.2360789272627235,20,66.072324,61.83,68.1,True,Unknown,70.0757,2022-02-24,OMC
1,70.0,2022-03-28,563,188.126842,,50,2022-03-25,1.1378344404463059,20,190.267414,177.61,191.35,True,Unknown,200.83,2022-03-25,JBHT
1,30.0,2022-04-07,571,54.377399999999994,,50,2022-04-06,0.6201105606373325,20,54.7146,48.73,57.6,True,Unknown,55.04,2022-04-06,ALK
1,30.0,2022-04-28,585,185.5783,,50,2022-04-27,2.9634316081136536,20,191.077786,178.11,199.17,True,Unknown,200.7185,2022-04-27,TGT
1,30.0,2022-05-03,588,160.67688,,50,2022-05-02,2.5127423435157503,20,164.71427599999998,155.3,172.24,True,Unknown,171.1293,2022-05-02,MAR
1,30.0,2022-05-06,591,33.603018,,50,2022-05-05,1.6019870596147179,20,34.141334,32.06,35.0,True,Unknown,35.1283,2022-05-05,WY
1,70.0,2022-05-11,594,46.377918,,50,2022-05-10,6.8322126922558235,20,49.546556,47.26,52.07,True,Unknown,52.4826,2022-05-10,DVN
1,70.0,2022-05-23,602,264.34186,,50,2022-05-20,6.278752067493221,20,280.93923,272.84,289.73,True,Unknown,289.0956,2022-05-20,LLY
1,100.0,2022-05-24,603,81.196462,,50,2022-05-23,0.16295537606061394,20,81.328776,79.44,87.06,True,Unknown,84.7262,2022-05-23,PM
1,30.0,2022-06-02,609,62.399300000000004,,50,2022-06-01,1.5414019067521378,20,63.361124,60.1,63.97,True,Unknown,63.8951,2022-06-01,L
1,30.0,2022-06-03,610,80.28645999999999,,50,2022-06-02,3.4742595451337843,20,83.07582000000001,79.44,87.06,True,Unknown,87.4431,2022-06-02,PM
1,30.0,2022-09-02,673,53.675948,,50,2022-09-01,1.512971880813363,20,54.48805,51.67,55.38,True,Unknown,56.6189,2022-09-01,GILD
1,70.0,2022-11-11,599,451.16464999999994,,50,2022-11-10,2.683180962870213,20,463.27021399999995,430.01,454.45,True,Unknown,492.4962,2022-11-10,ELV
1,70.0,2022-11-18,727,118.532708,,50,2022-11-17,4.384597372060384,20,123.72989,120.67,129.22,True,Unknown,135.6382,2022-11-17,DGX
1,56.0,2022-11-22,729,118.46026599999999,,50,2022-11-21,4.961120043407652,20,124.337222,121.4,129.22,True,Unknown,136.14,2022-11-21,DGX
1,70.0,2022-12-07,739,55.726046,,50,2022-12-06,7.3256982919620794,20,59.808368,51.8,55.29,True,Unknown,65.844,2022-12-06,AFL
1,70.0,2022-12-22,750,76.051684,,50,2022-12-21,5.380330565724245,20,80.143516,77.97,85.19,True,Unknown,86.0772,2022-12-21,PM
1,30.0,2023-01-17,765,158.60399999999998,,50,2023-01-13,13.94491942195657,20,180.72119999999998,162.78,188.65,True,Unknown,192.0,2023-01-13,MRNA
1,75.0,2023-02-01,776,51.78432,,50,2023-01-31,3.8574688245399225,20,53.781884,51.5,56.63,True,Unknown,55.0517,2023-01-31,PEG
1,30.0,2023-02-08,781,341.800314,,50,2023-02-07,0.7607277973419313,20,344.400484,331.04,351.21,True,Unknown,351.177,2023-02-07,MLM
1,50.0,2023-02-17,788,104.731126,,50,2023-02-16,0.1965681148123899,20,104.936994,100.57,107.19,True,Unknown,107.6791,2023-02-16,EXPD
