symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
LRCX,Unknown,2016-07-06,506,7.1249,510,7.0723,7.0723,7.34,30.0,7.0723,1,,526,2016-07-05,163400249.3,7.1579,2016-08-03,7.7947,fixed_time,9.4
KMI,Unknown,2016-09-19,558,13.1419,277,12.8561,12.8561,13.81,30.0,12.8561,1,,578,2016-09-16,204960705.85,13.2681,2016-10-11,12.8432,stop,-2.27
DOV,Unknown,2016-11-30,609,50.6694,71,47.3183,47.3183,49.88,30.0,47.3183,1,,629,2016-11-29,107004376.16,50.4521,2016-12-29,52.4285,fixed_time,3.47
AVGO,Unknown,2016-12-05,612,12.7772,285,12.35,12.35,13.35,30.0,12.35,1,,632,2016-12-02,338600942.53,12.7736,2017-01-04,13.7708,fixed_time,7.78
AZO,Unknown,2017-02-01,651,729.4687,5,718.07,718.07,783.33,30.0,718.07,1,,671,2017-01-31,280019434.15,714.99,2017-02-02,713.5258,stop,-2.19
IVZ,Unknown,2017-02-06,654,19.8571,185,19.539,19.539,20.63,30.0,19.539,1,,674,2017-02-03,70101573.33,19.753,2017-02-07,19.5195,stop,-1.7
HPQ,Unknown,2017-01-11,637,10.678,742,10.4425,10.4425,11.64,65.0,10.4425,1,,657,2017-01-10,111679278.84,10.8341,2017-02-09,11.2362,fixed_time,5.23
HAS,Unknown,2017-01-27,648,58.9502,62,58.0234,58.0234,60.89,30.0,58.0234,1,,668,2017-01-26,94436231.09,59.7376,2017-02-27,70.8093,fixed_time,20.12
IVZ,Unknown,2017-02-09,657,19.8117,186,19.4417,19.4417,20.63,30.0,19.4417,1,,677,2017-02-08,67635036.11,20.4274,2017-03-10,21.2008,fixed_time,7.01
GRMN,Unknown,2017-02-10,658,38.6977,95,38.3283,38.3283,41.75,30.0,38.3283,1,,678,2017-02-09,50435706.68,39.1944,2017-03-13,41.382,fixed_time,6.94
TXT,Unknown,2017-03-23,686,46.529,186,45.8996,45.8996,48.77,70.0,45.8996,1,,706,2017-03-22,83838527.59,46.3441,2017-03-24,45.8537,stop,-1.45
ORLY,Unknown,2017-02-27,668,17.8598,208,17.6247,17.6247,18.49,30.0,17.6247,1,,688,2017-02-24,311793255.05,17.8833,2017-03-27,18.0352,fixed_time,0.98
MLM,Unknown,2017-03-28,689,193.1314,19,188.5191,188.5191,209.81,30.0,188.5191,1,,709,2017-03-27,138124662.73,196.1339,2017-04-26,208.6598,fixed_time,8.04
NTRS,Unknown,2017-03-29,690,66.4823,153,65.3246,65.3246,68.57,100.0,65.3246,1,,710,2017-03-28,85323081.79,66.648,2017-04-27,70.818,fixed_time,6.52
TDC,Unknown,2017-05-01,712,29.2392,128,28.82,28.82,31.13,30.0,28.82,1,,732,2017-04-28,49975685.5,29.04,2017-05-04,28.7912,stop,-1.53
REGN,Unknown,2017-04-28,711,365.8568,10,357.051,357.051,393.43,30.0,357.051,1,,731,2017-04-27,294982768.44,385.3076,2017-05-26,452.5059,fixed_time,23.68
TJX,Unknown,2017-11-09,847,30.2634,124,30.0197,30.0197,32.28,30.0,30.0197,1,,867,2017-11-08,222660280.55,30.8117,2017-11-14,29.9897,stop,-0.9
JEF,Unknown,2017-11-16,852,17.7576,496,17.4464,17.4464,18.23,70.0,17.4464,1,,872,2017-11-15,24508876.69,17.5093,2017-11-17,17.415,stop,-1.93
SWKS,Unknown,2017-12-04,863,84.3051,122,81.5785,81.5785,88.27,100.0,81.5785,1,,883,2017-12-01,221624070.81,80.3841,2017-12-05,79.8542,stop,-5.28
PRU,Unknown,2018-02-07,907,73.1977,140,70.6632,70.6632,75.1,100.0,70.6632,1,,927,2018-02-06,172662724.45,73.7548,2018-02-08,70.5925,stop,-3.56
APA,Unknown,2018-02-07,907,32.9181,113,31.6634,31.6634,37.06,30.0,31.6634,1,,927,2018-02-06,155918055.57,31.5835,2018-02-08,31.6317,stop,-3.91
