cash,date,equity,excess_return,exposure_matched_excess_return,exposure_matched_spy_return,gross_exposure_pct,portfolio_return,positions,spy_return
774.87,2016-07-05,98819.44,-0.01180556,-0.01180556,0.0,99.2159,-0.01180556,10,0.0
774.87,2016-07-06,100078.0,0.00673848,0.0067855,0.00595039,99.2257,0.0127359,10,0.00599742
774.87,2016-07-07,100112.65,0.00096612,0.00096132,-0.00061505,99.226,0.00034627,10,-0.00061985
774.87,2016-07-08,101489.78,-0.00113491,-0.00101966,0.01477546,99.2365,0.0137558,10,0.01489071
774.87,2016-07-11,102432.44,0.0057616,0.00578853,0.00349967,99.2435,0.00928819,10,0.00352659
774.87,2016-07-12,103442.12,0.00259323,0.00264818,0.0072089,99.2509,0.00985708,10,0.00726385
774.87,2016-07-13,103543.43,0.00111914,0.00111809,-0.00013877,99.2516,0.00097932,10,-0.00013982
774.87,2016-07-14,104268.26,0.00141722,0.001459,0.00554128,99.2568,0.00700028,10,0.00558306
774.87,2016-07-15,104428.04,0.00287356,0.00286359,-0.0013312,99.258,0.00153239,10,-0.00134116
774.87,2016-07-18,104745.9,0.00035737,0.00037731,0.00266654,99.2602,0.00304385,10,0.00268647
774.87,2016-07-19,104475.68,-0.00156371,-0.00157122,-0.00100854,99.2583,-0.00257976,10,-0.00101605
774.87,2016-07-20,105358.02,0.00428196,0.00431284,0.0041325,99.2645,0.00844533,10,0.00416337
774.87,2016-07-21,104280.94,-0.00644565,-0.00647343,-0.00374952,99.2569,-0.01022296,10,-0.00377731
774.87,2016-07-22,105282.04,0.00511517,0.00514849,0.00445149,99.264,0.00959998,10,0.00448481
774.87,2016-07-25,105244.69,0.00236129,0.0023413,-0.00269606,99.2637,-0.00035477,10,-0.00271605
774.87,2016-07-26,105793.27,0.00475073,0.00475413,0.00045828,99.2676,0.00521241,10,0.00046168
774.87,2016-07-27,105555.85,-0.00118311,-0.00119088,-0.00105327,99.2659,-0.00224414,10,-0.00106104
774.87,2016-07-28,106161.82,0.00458583,0.00459431,0.0011464,99.2701,0.00574072,10,0.00115488
774.87,2016-07-29,106486.31,0.00144216,0.00145394,0.00160264,99.2723,0.00305659,10,0.00161443
774.87,2016-08-01,106116.52,-0.0026438,-0.00264983,-0.00082286,99.2698,-0.00347269,10,-0.00082889
774.87,2016-08-02,105678.17,0.0022769,0.00223011,-0.00636094,99.2668,-0.00413083,10,-0.00640773
774.87,2016-08-03,106361.12,0.00353946,0.00356089,0.00290164,99.2715,0.00646253,10,0.00292307
774.87,2016-08-04,106410.63,-0.00059774,-0.00058999,0.00105555,99.2718,0.00046555,10,0.00106329
774.87,2016-08-05,107357.89,0.00072251,0.00078207,0.00811985,99.2782,0.00890193,10,0.00817942
774.87,2016-08-08,107257.59,-0.00033867,-0.00034297,-0.00059135,99.2776,-0.00093432,10,-0.00059565
774.87,2016-08-09,107253.64,-0.00063275,-0.00062844,0.0005917,99.2775,-3.675e-05,10,0.000596
774.87,2016-08-10,107159.74,0.00159904,0.00158116,-0.00245672,99.2769,-0.00087556,10,-0.00247459
774.87,2016-08-11,107887.97,0.00215527,0.00218882,0.00460696,99.2818,0.00679579,10,0.00464052
774.87,2016-08-12,107667.26,-0.00117648,-0.00118273,-0.00086302,99.2803,-0.00204575,10,-0.00086927
774.87,2016-08-15,108506.2,0.00490835,0.0049291,0.00286284,99.2859,0.00779194,10,0.0028836
774.87,2016-08-16,107941.61,-4.582e-05,-8.265e-05,-0.00512061,99.2821,-0.00520326,10,-0.00515744
774.87,2016-08-17,108056.14,-0.00081983,-0.00080633,0.00186734,99.2829,0.00106102,10,0.00188085
774.87,2016-08-18,108222.42,-0.00070562,-0.00068952,0.0022284,99.284,0.00153888,10,0.0022445
774.87,2016-08-19,108078.23,0.00012985,0.00011938,-0.00145176,99.283,-0.00133238,10,-0.00146223
774.87,2016-08-22,107974.19,-0.000917,-0.00091733,-4.533e-05,99.2824,-0.00096267,10,-4.566e-05
774.87,2016-08-23,108414.6,0.0020659,0.00208035,0.00199848,99.2853,0.00407883,10,0.00201293
774.87,2016-08-24,107316.26,-0.00501625,-0.0050528,-0.00507814,99.278,-0.01013094,10,-0.00511469
774.87,2016-08-25,107542.72,0.00279897,0.00279399,-0.00068373,99.2795,0.00211027,10,-0.0006887
774.87,2016-08-26,107688.61,0.00323965,0.00322608,-0.00186952,99.2805,0.00135656,10,-0.00188309
774.87,2016-08-29,108575.9,0.0033153,0.00335073,0.00488865,99.2863,0.00823938,10,0.00492408
774.87,2016-08-30,108257.2,-0.00128685,-0.00129861,-0.00163661,99.2842,-0.00293522,10,-0.00164837
774.87,2016-08-31,107878.73,-0.00065216,-0.00067251,-0.00282355,99.2817,-0.00349606,10,-0.00284391
774.87,2016-09-01,107786.34,-0.00090227,-0.00090194,4.557e-05,99.2811,-0.00085637,10,4.59e-05
774.87,2016-09-02,108407.56,0.00125579,0.00128819,0.00447521,99.2852,0.0057634,10,0.00450761
774.87,2016-09-06,108329.11,-0.0037461,-0.0037245,0.00300081,99.2847,-0.00072369,10,0.00302241
774.87,2016-09-07,108494.72,0.00161991,0.00161926,-9.047e-05,99.2858,0.0015288,10,-9.112e-05
774.87,2016-09-08,108544.07,0.00273779,0.00272149,-0.00226666,99.2861,0.00045483,10,-0.00228297
774.87,2016-09-09,105525.49,-0.00387477,-0.00404563,-0.02376406,99.2657,-0.02780969,10,-0.02393492
774.87,2016-09-12,107651.15,0.00579593,0.00590128,0.01424227,99.2802,0.02014355,10,0.01434762
774.87,2016-09-13,105835.87,-0.00248676,-0.00259024,-0.01427237,99.2679,-0.01686261,10,-0.01437585
774.87,2016-09-14,104874.59,-0.00870776,-0.0087105,-0.00037219,99.2611,-0.00908269,10,-0.00037493
774.87,2016-09-15,106265.89,0.00327366,0.00334749,0.00991879,99.2708,0.01326628,10,0.00999262
774.87,2016-09-16,105500.47,-0.00333762,-0.00336581,-0.00383705,99.2655,-0.00720286,10,-0.00386523
774.87,2016-09-19,106177.39,0.00622902,0.00623039,0.00018585,99.2702,0.00641624,10,0.00018722
774.87,2016-09-20,106410.51,0.00214856,0.0021489,4.673e-05,99.2718,0.00219563,10,4.707e-05
774.87,2016-09-21,107504.59,-0.00096387,-0.00088198,0.01116366,99.2792,0.01028168,10,0.01124555
774.87,2016-09-22,108039.04,-0.00133004,-0.00128462,0.00625603,99.2828,0.00497141,10,0.00630145
774.87,2016-09-23,106557.58,-0.00823279,-0.00827209,-0.00544014,99.2728,-0.01371223,10,-0.00547944
774.87,2016-09-26,105862.63,0.00158037,0.00152145,-0.00804329,99.268,-0.00652184,10,-0.00810221
774.87,2016-09-27,106887.66,0.00347482,0.00352026,0.00616237,99.2751,0.00968262,10,0.0062078
774.87,2016-09-28,107979.26,0.00524867,0.00528465,0.0049279,99.2824,0.01021255,10,0.00496389
774.87,2016-09-29,106638.27,-0.00337157,-0.00343649,-0.00898241,99.2734,-0.0124189,10,-0.00904733
774.87,2016-09-30,108255.17,0.00761637,0.0076712,0.00749124,99.2842,0.01516244,10,0.00754607
774.87,2016-10-03,107620.17,-0.00346158,-0.00347878,-0.00238697,99.28,-0.00586575,10,-0.00240417
774.87,2016-10-04,106660.18,-0.00382257,-0.00385927,-0.00506093,99.2735,-0.0089202,10,-0.00509764
774.87,2016-10-05,107604.47,0.00442759,0.00445974,0.00439353,99.2799,0.00885327,10,0.00442568
774.87,2016-10-06,107405.39,-0.00254515,-0.00254014,0.00068999,99.2786,-0.00185015,10,0.000695
