attempt,diagnostic_exit_idx,divergence_missing_reason,divergence_signal_date,edge_rank,entry_adv_dollars,entry_date,entry_day_stop,entry_idx,entry_price,estimated_cost_drag_pct,exit_date,exit_price,exit_reason,gross_excess_vs_spy_pct,gross_return_pct,highest_close,hold_sessions,initial_stop,ma50_20_sessions_ago,ma50_missing_reason,ma50_period,ma50_signal_date,ma50_slope_pct,ma50_slope_sessions,ma50_value,matched_spy_return_pct,model_exit_idx,net_excess_vs_spy_pct,net_return_pct,pattern_stop,pivot,positive_ma50_slope,positive_relative_ma50_slope,positive_relative_ma_slope,positive_rs_divergence,relative_divergence_pct,relative_ma50_missing_reason,relative_ma50_period,relative_ma50_signal_date,relative_ma50_slope_pct,relative_ma50_slope_sessions,relative_ma_missing_reason,relative_ma_period,relative_ma_signal_date,relative_ma_slope_pct,relative_ma_slope_sessions,rs_divergence_lookback,sector,shares,signal_close,signal_date,spy_lookback_return_pct,spy_ma50_20_sessions_ago,spy_ma50_slope_pct,spy_ma50_value,spy_ma_20_sessions_ago,spy_ma_slope_pct,spy_ma_value,stock_lookback_return_pct,stock_ma50_20_sessions_ago,stock_ma50_slope_pct,stock_ma50_value,stock_ma_20_sessions_ago,stock_ma_slope_pct,stock_ma_value,stock_signal_close,stop,symbol,trailing_armed_date
1,,,,86.83177500867723,145736098.63,2016-07-05,False,505,29.9813,0.17971418954583385,2016-07-06,27.5276,stop,-8.60002759533801,-8.000285810454166,28.4551,1,27.5552,,,,,,,,0.5997417848838449,,-8.779741784883845,-8.18,0.0,,,,True,,,,,,,,,30,2016-07-01,4.33177500867723,20,,Unknown,332,,2016-07-01,,,,,175.72637333333307,0.6983508755048495,176.95355999999933,,,,,28.491003333333115,5.0301258841820795,29.924136666666286,30.4914,27.5552,NOV,
1,,,,83.69087700527433,970476852.0,2016-07-05,False,505,9.5295,0.17803542773580716,2016-07-19,8.5345,stop,-13.994986815716437,-10.261964572264192,9.881,10,8.7584,,,,,,,,3.733022243452244,,-14.173022243452245,-10.44,0.0,,,,True,,,,,,,,,30,2016-07-01,1.1908770052743378,20,,Communication Services,1035,,2016-07-01,,,,,175.72637333333307,0.6983508755048495,176.95355999999933,,,,,9.374200000000004,1.8892278807791874,9.551300000000007,9.667,8.7584,NFLX,
1,,,,86.77555449211101,149789188.78,2016-07-05,False,505,40.6012,0.18006805619447253,2016-07-27,37.2785,stop,-11.891296833759913,-7.999931943805527,41.9092,16,37.3158,,,,,,,,3.891364889954385,,-12.071364889954385,-8.18,0.0,,,,True,,,,,,,,,30,2016-07-01,4.275554492111011,20,,Unknown,244,,2016-07-01,,,,,175.72637333333307,0.6983508755048495,176.95355999999933,,,,,38.8796433333333,4.973905367615861,40.81347999999986,41.6563,37.3158,RRC,
1,,,,82.77961539188254,137370442.57,2016-07-05,False,505,42.8108,0.18013382906484487,2016-08-01,39.3073,stop,-12.092778549037785,-7.999866170935155,44.4121,19,39.3466,,,,,,,,4.092912378102631,,-12.272912378102632,-8.18,0.0,,,,True,,,,,,,,,30,2016-07-01,0.27961539188254836,20,,Energy,230,,2016-07-01,,,,,175.72637333333307,0.6983508755048495,176.95355999999933,,,,,42.72403666666687,0.9779662673873979,43.14186333333309,43.7406,39.3466,APA,
1,,,,87.67368874395676,182590637.16,2016-07-19,False,515,81.281,0.17281988291115447,2016-08-25,71.1433,stop,-12.995619191013574,-12.297180117088846,84.4118,27,74.7038,,,,,,,,0.6984390739247281,,-13.168439073924729,-12.47,0.0,,,,True,,,,,,,,,30,2016-07-18,5.173688743956761,20,,Consumer Staples,114,,2016-07-18,,,,,176.40469666666564,1.1796020019052333,178.48557000000048,,,,,75.66283666666665,6.353290745861995,80.46991666666666,81.0165,74.7038,DG,
1,,,,86.92735472440681,440935472.92,2016-08-01,False,524,32.4847,0.17965495113673313,2016-09-15,29.8261,stop,-7.235107950367881,-8.000345048863267,31.8216,32,29.856,,,,,,,,-0.765237098495386,,-7.414762901504614,-8.18,0.0,,,,True,,,,,,,,,30,2016-07-29,4.427354724406807,20,,Communication Services,278,,2016-07-29,,,,,176.76114999999942,2.1035184107673466,180.47935333333348,,,,,30.20009666666677,6.530873135174153,32.17242666666674,32.353,29.856,VZ,
1,,,,82.59244772703103,106854097.13,2016-07-05,False,505,10.7284,0.17993028336490546,2016-10-27,9.8504,stop,-10.800723591213757,-8.000069716635094,12.0714,81,9.8603,,,,,,,,2.8006538745786624,,-10.980653874578662,-8.18,0.0,,,,True,,,,,,,,,30,2016-07-01,0.09244772703103088,20,,Real Estate,920,,2016-07-01,,,,,175.72637333333307,0.6983508755048495,176.95355999999933,,,,,10.123100000000006,0.7907986025358804,10.203153333333315,10.8097,9.8603,HST,
1,,,,82.63590065998588,11392195.48,2016-07-06,False,506,1.3481,0.18936712990712667,2016-11-14,1.2379,stop,-11.817867261952264,-7.990632870092873,1.4317,92,1.2391,,,,,,,,3.827234391859391,,-12.007234391859392,-8.18,0.0,,,,True,,,,,,,,,30,2016-07-05,0.13590065998587697,20,,Unknown,7317,,2016-07-05,,,,,175.79359999999966,0.7241769135318599,177.0666566666662,,,,,1.2409733333333235,0.8600775735177368,1.2516466666666588,1.3474,1.2391,AIV,
1,,,,85.31755200910739,121597296.39,2016-07-05,False,505,93.3569,0.17995394556268351,2017-02-03,85.7167,stop,-19.250485425708288,-8.000046054437316,112.3815,148,85.8025,,,,,,,,11.250439371270971,,-19.43043937127097,-8.18,0.0,,,,True,,,,,,,,,30,2016-07-01,2.8175520091073825,20,,Unknown,105,,2016-07-01,,,,,175.72637333333307,0.6983508755048495,176.95355999999933,,,,,90.44334000000066,3.515902884612232,93.62324000000032,93.6479,85.8025,PVH,
1,,,,84.08419954855864,174271646.77,2016-07-27,False,521,26.3234,0.1968759169983112,2017-05-04,25.9416,armed_trailing_stop,-13.219913394768579,-1.2531240830016888,34.1678,194,24.1933,,,,,,,,11.96678931176689,,-13.41678931176689,-1.45,0.0,,,,True,,,,,,,,,30,2016-07-26,1.5841995485586402,20,,Energy,348,,2016-07-26,,,,,176.59107666666628,1.7278619382111948,179.64232666666697,,,,,24.968840000000153,3.312061486769835,25.79582333333334,26.0468,25.967528,DVN,2016-11-30
