symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
LRCX,Unknown,2016-07-05,505,7.2306,502,7.09,7.09,7.34,30.0,7.09,1,,506.0,2016-07-01,162291980.89,7.1518,2016-07-06,7.1107,model_decay,-1.66
LRCX,Unknown,2016-07-11,509,7.472,486,7.09,7.09,7.34,30.0,7.09,2,,532.0,2016-07-08,170453077.28,7.5396,2016-08-11,7.7781,model_decay,4.1
TPR,Unknown,2016-08-22,539,30.528,119,28.2,28.2,30.32,30.0,28.2,1,,540.0,2016-08-19,142703798.17,30.2314,2016-08-23,30.4442,model_decay,-0.27
CAT,Unknown,2016-07-27,521,66.492,54,61.1727,61.1727,62.59,30.0,58.34,1,,543.0,2016-07-26,311358287.56,67.5338,2016-08-26,66.7523,model_decay,0.39
LRCX,Unknown,2016-08-18,537,7.9117,460,7.2788,7.2788,7.34,30.0,7.09,3,,553.0,2016-08-17,192425868.93,7.9413,2016-09-12,7.865,model_decay,-0.59
CAT,Unknown,2016-09-08,551,67.1191,54,61.7495,61.7495,62.59,30.0,58.34,2,,553.0,2016-09-07,220912026.82,67.0841,2016-09-12,64.3937,model_decay,-4.06
CAT,Unknown,2016-09-13,554,65.1898,55,59.9746,59.9746,62.59,30.0,58.34,3,,555.0,2016-09-12,233545336.11,64.4261,2016-09-14,64.482,model_decay,-1.09
AVGO,Unknown,2016-09-28,565,13.2212,274,12.51,12.51,13.35,30.0,12.51,1,,576.0,2016-09-27,465483548.31,13.125,2016-10-13,12.9636,model_decay,-1.95
SWKS,Unknown,2016-10-21,582,62.6835,57,58.04,58.04,62.73,30.0,58.04,1,,586.0,2016-10-20,155440738.25,62.3954,2016-10-27,62.9042,model_decay,0.35
AVGO,Unknown,2016-10-19,580,13.1743,275,12.51,12.51,13.35,30.0,12.51,2,,588.0,2016-10-18,302685215.82,13.215,2016-10-31,13.0581,model_decay,-0.88
HRL,Unknown,2016-10-12,575,28.8869,125,28.0,28.0,29.34,30.0,28.0,1,,591.0,2016-10-11,66380110.79,29.0639,2016-11-03,28.8324,model_decay,-0.19
AVGO,Unknown,2016-11-04,592,13.115,276,12.51,12.51,13.35,30.0,12.51,3,,597.0,2016-11-03,281548502.59,13.238,2016-11-11,12.8545,model_decay,-1.99
DOV,Unknown,2016-11-22,604,50.0775,72,48.0,48.0,49.88,30.0,48.0,1,,629.0,2016-11-21,113400089.99,49.4405,2016-11-29,47.952,stop,-4.24
HPQ,Unknown,2016-12-02,611,10.8183,279,10.63,10.63,11.64,65.0,10.63,1,,612.0,2016-12-01,144560767.5,10.8722,2016-12-05,10.9619,model_decay,1.33
HPQ,Unknown,2016-12-06,613,11.1638,286,10.63,10.63,11.64,65.0,10.63,2,,622.0,2016-12-05,143787847.18,11.2174,2016-12-19,10.8885,model_decay,-2.47
