symbol,sector,signal_date,fill_date,fill_idx,edge_rank,pattern_stop,pivot,model_exit_idx,character_change_signal_idx,character_change_reason
LRCX,Unknown,2016-07-01,2016-07-05,505,30.0,7.09,7.34,,,
AN,Unknown,2016-07-08,2016-07-11,509,30.0,46.09,52.04,526.0,525.0,frozen_swing_low_break
CAT,Unknown,2016-07-12,2016-07-13,511,30.0,58.34,62.59,544.0,543.0,failed_ma_cluster_recovery
TPR,Unknown,2016-08-11,2016-08-12,533,30.0,28.2,30.32,,,
KMI,Unknown,2016-09-06,2016-09-07,550,30.0,12.86,13.81,,,
OKE,Unknown,2016-09-09,2016-09-12,553,30.0,25.59,27.58,,,
AVGO,Unknown,2016-09-27,2016-09-28,565,30.0,12.51,13.35,577.0,576.0,frozen_swing_low_break
SWKS,Unknown,2016-09-30,2016-10-03,568,30.0,58.04,62.73,587.0,586.0,failed_ma_cluster_recovery
SWKS,Unknown,2016-10-04,2016-10-05,570,30.0,58.27,62.73,587.0,586.0,failed_ma_cluster_recovery
HRL,Unknown,2016-10-10,2016-10-11,574,30.0,28.0,29.34,,,
VLO,Unknown,2016-10-17,2016-10-18,579,30.0,35.89,37.76,610.0,609.0,frozen_swing_low_break
VRSN,Unknown,2016-10-21,2016-10-24,583,30.0,73.49,81.64,599.0,598.0,frozen_swing_low_break
AXP,Unknown,2016-11-07,2016-11-08,594,30.0,56.96,59.5,630.0,629.0,frozen_swing_low_break
HUM,Unknown,2016-11-08,2016-11-09,595,30.0,151.88,163.24,617.0,616.0,failed_ma_cluster_recovery
MAR,Unknown,2016-11-10,2016-11-11,597,33.3,60.42,64.84,631.0,630.0,frozen_swing_low_break
RF,Unknown,2016-11-15,2016-11-16,600,70.0,6.56,7.06,630.0,629.0,frozen_swing_low_break
KEY,Unknown,2016-11-15,2016-11-16,600,30.0,7.9,8.4,630.0,629.0,frozen_swing_low_break
HRB,Unknown,2016-11-16,2016-11-17,601,30.0,14.3,16.23,608.0,607.0,frozen_swing_low_break
AZO,Unknown,2016-11-18,2016-11-21,603,30.0,720.45,783.33,631.0,630.0,frozen_swing_low_break
DOV,Unknown,2016-11-21,2016-11-22,604,30.0,48.0,49.88,,,
KEY,Unknown,2016-11-28,2016-11-29,608,70.0,7.9,8.4,630.0,629.0,frozen_swing_low_break
RF,Unknown,2016-11-28,2016-11-29,608,30.0,6.56,7.06,630.0,629.0,frozen_swing_low_break
KEY,Unknown,2016-11-29,2016-11-30,609,30.0,7.9,8.4,630.0,629.0,frozen_swing_low_break
APA,Unknown,2016-11-30,2016-12-01,610,85.0,45.19,50.13,629.0,628.0,frozen_swing_low_break
HPQ,Unknown,2016-11-30,2016-12-01,610,65.0,10.63,11.64,622.0,621.0,frozen_swing_low_break
EMN,Unknown,2016-12-14,2016-12-15,620,30.0,45.47,49.68,630.0,629.0,failed_ma_cluster_recovery
ULTA,Unknown,2016-12-16,2016-12-19,622,30.0,248.55,273.99,629.0,628.0,frozen_swing_low_break
HAS,Unknown,2017-01-19,2017-01-20,643,30.0,58.81,60.89,,,
VRSN,Unknown,2017-01-20,2017-01-23,644,70.0,73.49,81.64,,,
KR,Unknown,2017-01-31,2017-02-01,651,30.0,27.05,28.69,,,
IVZ,Unknown,2017-02-03,2017-02-06,654,30.0,19.75,20.63,,,
TXT,Unknown,2017-02-07,2017-02-08,656,70.0,45.99,48.77,,,
IVZ,Unknown,2017-02-07,2017-02-08,656,30.0,19.53,20.63,678.0,677.0,frozen_swing_low_break
GRMN,Unknown,2017-02-08,2017-02-09,657,30.0,38.34,41.75,689.0,688.0,frozen_swing_low_break
QRVO,Unknown,2017-02-10,2017-02-13,532,30.0,52.82,56.97,546.0,545.0,failed_ma_cluster_recovery
NTAP,Unknown,2017-02-16,2017-02-17,663,30.0,27.58,29.32,685.0,684.0,frozen_swing_low_break
ORLY,Unknown,2017-02-21,2017-02-22,665,30.0,17.63,18.49,,,
TDC,Unknown,2017-02-22,2017-02-23,666,30.0,28.9,31.13,,,
EOG,Unknown,2017-03-01,2017-03-02,671,30.0,69.23,74.13,,,
MET,Unknown,2017-03-08,2017-03-09,676,30.0,34.08,35.35,683.0,682.0,frozen_swing_low_break
MLM,Unknown,2017-03-13,2017-03-14,679,30.0,192.34,209.81,,,
ORLY,Unknown,2017-03-22,2017-03-23,686,30.0,17.63,18.49,,,
NTRS,Unknown,2017-03-28,2017-03-29,690,100.0,65.83,68.57,,,
VRTX,Unknown,2017-04-04,2017-04-05,695,30.0,88.9,95.0,717.0,716.0,frozen_swing_low_break
REGN,Unknown,2017-04-19,2017-04-20,705,30.0,358.99,393.43,,,
REGN,Unknown,2017-04-20,2017-04-21,706,30.0,358.99,393.43,,,
EW,Unknown,2017-04-26,2017-04-27,710,30.0,30.81,32.16,742.0,741.0,frozen_swing_low_break
XRX,Unknown,2017-05-09,2017-05-10,719,30.0,17.09,17.88,,,
REGN,Unknown,2017-05-11,2017-05-12,721,30.0,358.99,393.43,746.0,745.0,frozen_swing_low_break
REGN,Unknown,2017-05-16,2017-05-17,724,70.0,358.99,393.43,746.0,745.0,frozen_swing_low_break
REGN,Unknown,2017-05-17,2017-05-18,725,70.0,358.99,393.43,746.0,745.0,frozen_swing_low_break
CVS,Unknown,2017-05-17,2017-05-18,725,30.0,56.85,60.78,,,
ADI,Unknown,2017-05-31,2017-06-01,734,30.0,62.95,67.52,,,
TROW,Unknown,2017-06-05,2017-06-06,737,30.0,47.04,51.07,790.0,789.0,frozen_swing_low_break
WMB,Unknown,2017-06-23,2017-06-26,751,70.0,17.2,18.47,779.0,778.0,frozen_swing_low_break
GT,Unknown,2017-06-27,2017-06-28,753,30.0,30.58,33.4,771.0,770.0,frozen_swing_low_break
CHTR,Unknown,2017-07-31,2017-08-01,729,30.0,329.04,355.0,747.0,746.0,frozen_swing_low_break
TRIP,Unknown,2017-08-11,2017-08-14,785,30.0,36.34,39.66,,,
DLR,Unknown,2017-08-14,2017-08-15,786,30.0,81.39,86.96,809.0,808.0,frozen_swing_low_break
TJX,Unknown,2017-08-22,2017-08-23,792,30.0,30.14,32.28,812.0,811.0,frozen_swing_low_break
QRVO,Unknown,2017-08-30,2017-08-31,671,30.0,64.7,70.27,685.0,684.0,frozen_swing_low_break
PRGO,Unknown,2017-09-12,2017-09-13,806,30.0,59.17,62.07,818.0,817.0,frozen_swing_low_break
SO,Unknown,2017-09-19,2017-09-20,811,70.0,33.4,34.66,845.0,844.0,frozen_swing_low_break
AMAT,Unknown,2017-10-02,2017-10-03,820,30.0,41.45,44.13,852.0,851.0,failed_ma_cluster_recovery
CB,Unknown,2017-10-27,2017-10-30,839,30.0,120.78,126.06,,,
HPE,Unknown,2017-11-03,2017-11-06,517,30.0,10.14,10.75,,,
JEF,Unknown,2017-11-06,2017-11-07,845,70.0,17.48,18.23,,,
EQT,Unknown,2017-11-06,2017-11-07,845,56.7,30.37,32.48,,,
HPE,Unknown,2017-11-06,2017-11-07,518,53.3,10.14,10.75,,,
JEF,Unknown,2017-11-07,2017-11-08,846,30.0,17.48,18.23,,,
SWKS,Unknown,2017-11-08,2017-11-09,847,100.0,82.36,88.27,,,
SYY,Unknown,2017-11-14,2017-11-15,851,70.0,39.67,42.03,883.0,882.0,failed_ma_cluster_recovery
ROK,Unknown,2017-11-29,2017-11-30,861,30.0,161.54,172.94,,,
ORCL,Unknown,2017-12-08,2017-12-11,868,30.0,42.34,45.05,,,
WDC,Unknown,2017-12-13,2017-12-14,871,30.0,56.83,62.84,,,
PRU,Unknown,2017-12-15,2017-12-18,873,100.0,71.19,75.1,902.0,901.0,frozen_swing_low_break
ESRX,Unknown,2017-12-22,2017-12-26,877,30.0,60.63,62.9,901.0,900.0,abnormal_down_day
IDXX,Unknown,2018-01-17,2018-01-18,764,30.0,154.88,165.77,779.0,778.0,frozen_swing_low_break
ESRX,Unknown,2018-01-18,2018-01-19,893,70.0,59.47,62.76,,,
AES,Unknown,2018-01-18,2018-01-19,894,30.0,7.57,7.91,905.0,904.0,frozen_swing_low_break
AES,Unknown,2018-01-22,2018-01-23,896,30.0,7.57,7.91,905.0,904.0,frozen_swing_low_break
APA,Unknown,2018-01-23,2018-01-24,897,30.0,31.87,37.06,902.0,901.0,frozen_swing_low_break
STT,Unknown,2018-01-24,2018-01-25,898,30.0,74.37,77.64,,,
PM,Unknown,2018-01-26,2018-01-29,900,30.0,66.88,70.7,,,
ESRX,Unknown,2018-01-30,2018-01-31,901,70.0,59.17,62.76,,,
AIG,Unknown,2018-01-30,2018-01-31,902,30.0,47.26,48.62,906.0,905.0,frozen_swing_low_break
HUM,Unknown,2018-02-05,2018-02-06,906,70.0,224.22,243.22,966.0,965.0,frozen_swing_low_break
ADM,Unknown,2018-02-06,2018-02-07,907,85.0,30.57,32.87,938.0,937.0,frozen_swing_low_break
TRIP,Unknown,2018-02-06,2018-02-07,907,35.0,30.31,33.94,,,
MCK,Unknown,2018-02-07,2018-02-08,908,70.0,142.93,153.98,,,
CHTR,Unknown,2018-02-08,2018-02-09,862,70.0,328.5,361.28,,,
BKNG,Unknown,2018-02-16,2018-02-20,915,100.0,70.5,77.75,939.0,938.0,frozen_swing_low_break
TAP,Unknown,2018-03-05,2018-03-06,925,30.0,60.06,65.15,936.0,935.0,frozen_swing_low_break
ESRX,Unknown,2018-03-08,2018-03-09,927,70.0,72.51,80.5,,,
HLT,Unknown,2018-03-26,2018-03-27,696,85.0,75.96,80.32,,,
A,Unknown,2018-03-26,2018-03-27,940,65.0,61.84,67.09,,,
MGM,Unknown,2018-04-05,2018-04-06,679,30.0,31.95,34.48,,,
CTAS,Unknown,2018-04-10,2018-04-11,950,100.0,37.32,41.06,966.0,965.0,failed_ma_cluster_recovery
SHW,Unknown,2018-04-17,2018-04-18,955,70.0,119.02,124.52,,,
CMG,Unknown,2018-04-26,2018-04-27,962,30.0,6.15,6.89,1003.0,1002.0,frozen_swing_low_break
IDXX,Unknown,2018-05-07,2018-05-08,840,30.0,189.42,202.26,847.0,846.0,frozen_swing_low_break
VRSK,Unknown,2018-05-24,2018-05-25,982,30.0,99.0,101.35,1001.0,1000.0,frozen_swing_low_break
SRE,Unknown,2018-06-12,2018-06-13,994,30.0,39.57,41.89,1020.0,1019.0,failed_ma_cluster_recovery
