attempt,diagnostic_exit_idx,divergence_missing_reason,divergence_signal_date,edge_rank,entry_adv_dollars,entry_date,entry_day_stop,entry_idx,entry_price,estimated_cost_drag_pct,exit_date,exit_price,exit_reason,gross_excess_vs_spy_pct,gross_return_pct,highest_close,hold_sessions,initial_stop,matched_spy_return_pct,model_exit_idx,net_excess_vs_spy_pct,net_return_pct,pattern_stop,pivot,positive_rs_divergence,relative_divergence_pct,rs_divergence_lookback,sector,shares,signal_date,spy_lookback_return_pct,stock_lookback_return_pct,stop,symbol
1,,,2016-10-13,30.0,178926902.3,2016-10-14,False,577,62.7722,0.1838376543757816,2016-12-01,57.982,stop,-10.47265539543255,-7.446162345624218,62.5242,33,58.04,3.026493049808332,,-10.656493049808333,-7.63,58.04,62.73,True,12.247981610365654,40,Unknown,57,2016-10-13,-1.9617720299510144,10.28620958041464,58.04,SWKS
1,,,2016-11-09,30.0,83999178.75,2016-11-10,False,596,81.0822,0.18196493335304353,2016-12-30,74.521,stop,-11.562685416711515,-7.908035066646956,79.8388,34,74.5956,3.654650350064559,,-11.744650350064559,-8.09,73.49,81.64,True,6.260149342728116,40,Unknown,44,2016-11-09,2.028155361194961,8.288304703923078,74.5956,VRSN
1,,,2016-12-22,30.0,82294232.82,2016-12-23,False,626,55.1236,0.21074334811266882,2017-03-23,56.7633,timeout,-0.9565103534064257,3.180743348112669,55.54,60,50.7137,4.137253701519095,,-1.1672537015190945,2.97,45.47,49.68,True,7.898509881503979,40,Unknown,65,2016-12-22,6.067339467490185,13.965849348994164,50.7137,EMN
1,,,2017-02-28,30.0,59793718.45,2017-03-01,False,670,31.5015,0.18200438951402553,2017-04-27,28.9524,stop,-7.848767417284875,-7.907995610485974,31.43,40,28.9814,-0.05922819320109962,,-8.0307718067989,-8.09,28.9,31.13,True,8.726158710030528,40,Unknown,115,2017-02-28,5.402281656941943,14.128440366972473,28.9814,TDC
1,,,2017-02-16,70.0,83568305.5,2017-02-17,False,663,80.6779,0.2197958728282181,2017-05-16,88.7534,timeout,7.662947466352765,10.229795872828218,81.0701,60,74.2237,2.5668484064754526,,7.443151593524547,10.01,73.49,81.64,True,0.8297038891162511,40,Unknown,104,2017-02-16,4.074804639531182,4.904508528647433,74.2237,VRSN
1,,,2017-02-24,30.0,120558679.6,2017-02-27,False,541,66.3463,0.234738033499859,2017-05-23,78.1817,timeout,16.394343146578304,18.07473803349986,67.62,60,61.0386,1.6803948869215546,,16.159605113078445,17.84,52.82,56.97,True,14.548189536162637,40,Unknown,54,2017-02-24,4.627179567186301,19.175369103348938,61.0386,QRVO
1,,,2017-02-24,30.0,140882680.15,2017-02-27,False,668,277.277,0.20999638627797346,2017-05-23,296.0936,timeout,5.319601499356419,6.9999963862779735,275.69,60,255.0948,1.6803948869215546,,5.1096051130784454,6.79,248.55,273.99,True,2.175278593830954,40,Unknown,13,2017-02-24,4.627179567186301,6.802458161017255,255.0948,ULTA
1,,,2017-03-08,30.0,69520260.44,2017-03-09,False,676,40.9675,0.20673839153120488,2017-06-05,42.0332,timeout,-0.6515792740247051,2.806738391531205,41.0289,60,38.34,3.45831766555591,,-0.8583176655559099,2.6,38.34,41.75,True,3.649663812219228,40,Unknown,88,2017-03-08,4.459928991461326,8.109592803680554,38.34,GRMN
1,,,2017-07-21,30.0,67195399.24,2017-07-24,False,770,32.6989,0.18378687915440928,2017-07-28,29.3845,stop,-9.992666972227614,-9.956213120845591,32.4814,4,30.58,0.036453851382023394,,-10.176453851382025,-10.14,30.58,33.4,True,6.457370148731756,40,Unknown,112,2017-07-21,3.106259514400378,9.563629663132133,30.58,GT
1,,,2017-05-22,30.0,143371360.98,2017-05-23,False,728,217.0273,0.18197650716296465,2017-08-01,199.4654,stop,-11.438971425443189,-7.908023492837035,215.8856,48,199.6651,3.5309479326061544,,-11.620947932606153,-8.09,192.34,209.81,True,9.41623809317389,40,Unknown,16,2017-05-22,2.420260298861643,11.836498392035534,199.6651,MLM
1,,,2017-09-21,30.0,226738436.17,2017-09-22,False,813,32.2085,0.19148448415814023,2017-11-07,30.1099,stop,-10.028781912256623,-6.328515515841859,32.0877,32,30.14,3.700266396414764,,-10.220266396414765,-6.52,30.14,32.28,True,5.533911079979337,40,Unknown,113,2017-09-21,1.2923632362836335,6.82627431626297,30.14,TJX
1,,,2017-09-08,30.0,71874635.0,2017-09-11,False,677,72.4123,0.19540203816212964,2017-12-05,71.968,timeout,-6.5484422334046055,-0.41459796183787034,72.63,60,66.6194,6.133844271566735,,-6.7438442715667355,-0.61,64.7,70.27,True,5.409883577785379,40,Unknown,50,2017-09-08,0.8837189159061731,6.2936024936915524,66.6194,QRVO
1,,,2017-09-29,30.0,104154200.03,2017-10-02,False,819,65.6722,0.20979975989520572,2017-12-27,68.89,timeout,-1.3765380932290627,5.109799759895206,67.0528,60,60.4184,6.486337853124269,,-1.5863378531242684,4.9,59.17,62.07,True,21.939286259871203,40,Unknown,55,2017-09-29,2.2338862296484185,24.173172489519622,60.4184,PRGO
1,,,2017-11-01,30.0,180440179.53,2017-11-02,False,842,130.7686,0.20096296352024678,2018-01-31,133.5233,timeout,-7.685819107101754,2.3109629635202467,128.6215,60,120.78,9.996782070622,,-7.886782070622001,2.11,120.78,126.06,True,5.6215343072305135,40,Unknown,27,2017-11-01,4.8067616303481,10.428295937578614,120.78,CB
1,,,2018-02-02,30.0,157546247.19,2018-02-05,False,905,82.3842,0.18203583573909476,2018-02-09,75.7177,stop,-6.987268383587885,-7.907964164260905,79.1876,4,75.7935,-0.9206957806730198,,-7.16930421932698,-8.09,74.37,77.64,True,6.271734117565075,40,Unknown,44,2018-02-02,5.193174195647665,11.46490831321274,75.7935,STT
1,,,2017-11-17,70.0,112633275.68,2017-11-20,False,854,43.8077,0.21776087779557685,2018-02-16,47.4835,timeout,2.333642866755258,8.607760877795577,43.8357,60,40.3031,6.274118011040319,,2.115881988959681,8.39,39.67,42.03,True,0.10217935031349157,40,Unknown,194,2017-11-17,3.3755326551332177,3.477712005446709,40.3031,SYY
1,,,2018-04-25,30.0,278105238.47,2018-04-26,False,693,32.0641,0.18864182632234883,2018-04-27,30.886,stop,-3.575252887200797,-3.481358173677651,31.0419,1,31.95,0.09389471352314605,,-3.763894713523146,-3.67,31.95,34.48,True,7.00002272404594,40,Unknown,116,2018-04-25,-3.550633562894734,3.449389161151206,31.95,MGM
