attempt,diagnostic_exit_idx,divergence_missing_reason,divergence_signal_date,edge_rank,entry_adv_dollars,entry_date,entry_day_stop,entry_idx,entry_price,estimated_cost_drag_pct,exit_date,exit_price,exit_reason,gross_excess_vs_spy_pct,gross_return_pct,highest_close,hold_sessions,initial_stop,matched_spy_return_pct,model_exit_idx,net_excess_vs_spy_pct,net_return_pct,pattern_stop,pivot,positive_rs_divergence,relative_divergence_pct,rs_divergence_lookback,sector,shares,signal_date,spy_lookback_return_pct,stock_lookback_return_pct,stop,symbol
1,,,2022-02-01,30.0,117099938.64,2022-02-02,False,526,73.0683,0.18240947171348498,2022-02-16,67.5424,stop,-5.027088250147426,-7.377590528286515,73.6682,10,67.61,-2.3505022781390883,,-5.209497721860911,-7.56,67.61,72.56,False,3.8816254034512387,20,Unknown,49,2022-02-01,-5.1830489198338325,-1.3014235163825938,67.61,ES
1,,,2022-02-07,85.0,121329730.54,2022-02-08,False,530,107.5879,0.18191885106182681,2022-02-23,98.8818,stop,-1.4792755521183976,-7.908081148938173,109.0927,10,98.9808,-6.4288055968197755,,-1.6611944031802244,-8.09,98.04,104.92,False,-1.3741174224083053,20,Unknown,92,2022-02-07,-4.040013407729514,-5.41413083013782,98.9808,NTRS
1,,,2022-02-22,30.0,82405315.19,2022-02-23,False,540,40.8514,0.1977262500705325,2022-05-19,40.9197,timeout,7.780965052672306,0.3677262500705325,40.6656,60,37.5833,-7.413238802601773,,7.583238802601773,0.17,34.98,37.07,False,-0.5418785363870859,20,Unknown,88,2022-02-22,-2.334930837894922,-2.876809374282008,37.5833,HRL
1,,,2023-01-13,30.0,1027280322.65,2023-01-17,False,765,188.0829,0.182036369426811,2023-02-01,172.8633,stop,-11.183731999666968,-7.907963630573189,190.69,11,173.0363,3.275768369093779,,-11.365768369093779,-8.09,162.78,188.65,False,-8.344815088057189,20,Unknown,19,2023-01-13,0.23282657405863105,-8.111988513998558,173.0363,MRNA
1,,,2023-01-31,75.0,116313745.76,2023-02-01,False,776,54.733,0.18723621946539737,2023-03-10,51.4485,stop,0.24616589468976446,-5.812763780534603,54.945,26,51.5,-6.058929675224367,,0.058929675224367095,-6.0,51.5,56.63,False,-5.2115209526248485,20,Unknown,163,2023-01-31,6.288726497470143,1.0772055448452944,51.5,PEG
1,,,2023-03-03,30.0,333568678.7,2023-03-06,False,798,337.7374,0.182003087853702,2023-03-10,310.4077,stop,-3.3192689119539205,-7.907996912146298,335.8,4,310.7184,-4.588728000192377,,-3.5012719998076225,-8.09,183.26,221.62,False,-4.014864464110445,20,Unknown,10,2023-03-03,-3.0208140954093965,-7.035678559519843,310.7184,ALGN
1,,,2023-02-07,30.0,115924017.21,2023-02-08,False,781,349.0471,0.18924601355008352,2023-03-13,326.8539,stop,-0.012222199538746814,-6.170753986449917,348.9629,22,331.04,-6.15853178691117,,-0.20146821308883034,-6.36,331.04,351.21,False,-3.1840921222715757,20,Unknown,10,2023-02-07,7.046383944147916,3.8622918218763402,331.04,MLM
1,,,2023-04-10,30.0,116646830.14,2023-04-11,False,823,1525.7242,0.1815660707288922,2023-05-05,1420.5281,stop,-7.418696888289856,-6.7084339292711075,1527.37,18,1421.95,0.7102629590187481,,-7.600262959018748,-6.89,1421.95,1526.66,False,-0.38000177383390454,20,Unknown,2,2023-04-10,6.546406797381787,6.166405023547883,1421.95,MTD
1,,,2023-05-25,30.0,152824207.91,2023-05-26,False,856,37.6575,0.19383665947033668,2023-05-31,36.7832,stop,-1.6095059838984183,-2.126163340529663,38.4971,2,36.82,-0.5166573566312449,,-1.803342643368755,-2.32,36.82,38.83,False,-0.9105718759152115,20,Unknown,94,2023-05-25,0.5431421607660303,-0.3674297151491812,36.82,TPR
1,,,2023-07-10,30.0,58173722.83,2023-07-11,False,885,36.676,0.19029092567317285,2023-08-15,34.6153,stop,-5.526878584214323,-5.429709074326827,37.3122,25,34.65,0.09716950988749584,,-5.717169509887496,-5.62,34.65,36.35,False,-0.2237105432348896,20,Unknown,96,2023-07-10,2.8343505466100094,2.61064000337512,34.65,XRAY
1,,,2023-08-07,70.0,3800562573.65,2023-08-08,False,905,44.08,0.1818945261050331,2023-08-17,40.513,stop,-5.13151443164458,-7.908105473894967,43.83,7,40.5536,-2.776591042250387,,-5.313408957749613,-8.09,31.56,34.98,False,-2.7283898783141414,20,Unknown,187,2023-08-07,2.513316640216745,-0.2150732380973963,40.5536,NFLX
1,,,2023-07-03,30.0,858410773.73,2023-07-05,False,881,289.0962,0.19374863391429908,2023-09-28,285.4134,timeout,1.879635437433902,-1.076251366085701,292.3545,60,265.9685,-2.955886803519603,,1.6858868035196029,-1.27,246.86,272.31,False,-4.22873559681527,20,Unknown,12,2023-07-03,4.093863684282528,-0.13487191253274133,265.9685,ACN
1,,,2023-08-29,70.0,83341548.78,2023-08-30,False,921,76.7951,0.2044168580945751,2023-11-24,77.9173,timeout,0.3571283367883815,1.664416858094575,77.3465,60,70.6515,1.3072885213061936,,0.1527114786938064,1.46,62.71,68.08,False,0.33327116572960946,20,Unknown,106,2023-08-29,-1.6035802172124525,-1.270309051482843,70.6515,TXT
1,,,2023-11-08,70.0,208266633.4,2023-11-09,False,971,35.7962,0.1944409180860287,2023-12-14,34.1258,stop,-13.273749791275225,-4.475559081913971,35.3817,24,34.16,8.798190709361254,,-13.468190709361254,-4.67,34.16,36.66,False,-1.3620889265525182,20,Unknown,227,2023-11-08,0.2131413204473409,-1.1489476061051773,34.16,EXC
