symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
LRCX,Unknown,2016-07-06,506,7.1249,510,7.09,7.09,7.34,30.0,7.09,1,,509,2016-07-05,163400249.3,7.1579,2016-07-11,7.457,fixed_time,4.66
CAT,Unknown,2016-07-20,516,63.8635,57,58.7544,58.7544,62.59,30.0,58.34,1,,518,2016-07-19,295813614.07,63.9925,2016-07-22,64.0007,fixed_time,0.21
CAT,Unknown,2016-08-01,524,66.5242,54,61.2022,61.2022,62.59,30.0,58.34,2,,529,2016-07-29,331305840.62,65.8073,2016-08-08,66.5838,fixed_time,0.09
AN,Unknown,2016-08-03,526,48.7087,74,46.09,46.09,52.04,30.0,46.09,1,,529,2016-08-02,69096788.4,49.23,2016-08-08,50.1598,fixed_time,2.98
AN,Unknown,2016-08-10,531,49.059,74,46.09,46.09,52.04,30.0,46.09,2,,533,2016-08-09,60617733.2,48.59,2016-08-12,49.2407,fixed_time,0.37
CAT,Unknown,2016-08-11,532,66.7172,54,61.3798,61.3798,62.59,30.0,58.34,3,,533,2016-08-10,298012673.61,66.8432,2016-08-12,66.7924,fixed_time,0.11
LRCX,Unknown,2016-08-12,533,7.7858,468,7.1629,7.1629,7.34,30.0,7.09,2,,535,2016-08-11,191045319.72,7.7885,2016-08-16,7.8898,fixed_time,1.34
TPR,Unknown,2016-08-18,537,29.9648,121,28.2,28.2,30.32,30.0,28.2,1,,538,2016-08-17,138637702.93,30.0033,2016-08-19,29.9809,fixed_time,0.05
AN,Unknown,2016-08-18,537,48.2882,75,46.09,46.09,52.04,30.0,46.09,3,,541,2016-08-17,62645760.4,48.77,2016-08-24,48.1718,fixed_time,-0.24
TPR,Unknown,2016-08-26,543,30.2845,120,28.2,28.2,30.32,30.0,28.2,2,,548,2016-08-25,139716581.16,29.5851,2016-09-02,29.2973,fixed_time,-3.26
LRCX,Unknown,2016-09-07,550,8.1696,446,7.516,7.516,7.34,30.0,7.09,3,,551,2016-09-06,183920935.75,8.2129,2016-09-08,8.1576,fixed_time,-0.15
TPR,Unknown,2016-09-07,550,28.8231,126,28.2,28.2,30.32,30.0,28.2,3,,551,2016-09-06,109063334.51,29.2962,2016-09-08,29.0968,fixed_time,0.95
KMI,Unknown,2016-09-12,553,13.1662,276,12.86,12.86,13.81,30.0,12.86,1,,558,2016-09-09,195011613.34,13.571,2016-09-16,12.8471,stop,-2.42
OKE,Unknown,2016-09-15,556,25.9766,140,25.59,25.59,27.58,30.0,25.59,1,,559,2016-09-14,52883706.83,25.9063,2016-09-16,25.5543,stop,-1.63
KMI,Unknown,2016-09-19,558,13.1419,277,12.86,12.86,13.81,30.0,12.86,2,,559,2016-09-16,204960705.85,13.2681,2016-09-20,13.3033,fixed_time,1.23
KMI,Unknown,2016-09-26,563,13.342,272,12.86,12.86,13.81,30.0,12.86,3,,566,2016-09-23,215972682.09,13.1954,2016-09-29,13.7511,fixed_time,3.07
AVGO,Unknown,2016-10-04,569,13.1312,277,12.51,12.51,13.35,30.0,12.51,1,,571,2016-10-03,421225486.0,12.9981,2016-10-06,13.3116,fixed_time,1.37
HRL,Unknown,2016-10-17,578,29.1617,125,28.0,28.0,29.34,30.0,28.0,1,,579,2016-10-14,65407775.37,29.0258,2016-10-18,29.1415,fixed_time,-0.07
AVGO,Unknown,2016-10-13,576,12.9896,280,12.51,12.51,13.35,30.0,12.51,2,,580,2016-10-12,367199122.22,12.9897,2016-10-19,13.1479,fixed_time,1.22
SWKS,Unknown,2016-10-13,576,62.8689,58,58.04,58.04,62.73,30.0,58.04,1,,580,2016-10-12,196368535.43,62.347,2016-10-19,62.1076,fixed_time,-1.21
HRL,Unknown,2016-10-24,583,28.959,125,28.0,28.0,29.34,30.0,28.0,2,,584,2016-10-21,61348375.67,29.0833,2016-10-25,29.0312,fixed_time,0.25
VRSN,Unknown,2016-10-26,585,78.3312,46,73.49,73.49,81.64,30.0,73.49,1,,587,2016-10-25,68615355.57,78.0362,2016-10-28,81.8452,fixed_time,4.49
VLO,Unknown,2016-10-31,588,39.9882,91,36.7892,36.7892,37.76,30.0,35.89,1,,589,2016-10-28,210970276.92,40.3846,2016-11-01,41.1137,fixed_time,2.81
