symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
NLOK,Unknown,2020-02-13,532,17.8778,203,16.4475,16.4475,13.43,30.0,12.73,1,,550.0,2020-02-12,178706715.38,18.0688,2020-02-27,16.148,stop,-9.68
NRG,Unknown,2020-02-26,540,30.2331,119,30.13,30.13,32.52,30.0,30.13,1,,545.0,2020-02-25,71771062.5,29.2838,2020-02-27,29.0876,stop,-3.79
TMUS,Unknown,2020-02-25,539,92.4321,61,85.0376,85.0376,79.4,46.7,75.7,1,,544.0,2020-02-24,510045426.92,90.4463,2020-02-28,84.9526,stop,-8.09
CL,Unknown,2020-02-28,542,59.25,87,58.82,58.82,60.98,43.3,58.82,1,,,2020-02-27,310826010.64,57.9725,2020-03-02,58.7201,stop,-0.89
SPGI,Unknown,2020-02-28,542,233.8974,35,215.76,215.76,228.94,70.0,215.76,1,,544.0,2020-02-27,397959043.05,238.7731,2020-03-03,259.9917,model_decay,11.16
CCI,Unknown,2020-02-28,542,109.0908,88,100.3635,100.3635,102.96,80.0,97.39,1,,546.0,2020-02-27,224527593.09,107.6001,2020-03-05,120.6354,model_decay,10.58
CLX,Unknown,2020-04-24,581,156.9447,54,144.3891,144.3891,125.17,70.0,117.72,1,,586.0,2020-04-23,333514281.75,157.432,2020-05-01,159.2132,model_decay,1.45
PKG,Unknown,2020-06-12,615,84.4858,43,80.41,80.41,86.18,30.0,80.41,1,,620.0,2020-06-11,53686610.0,82.9095,2020-06-15,80.3296,stop,-4.92
CAH,Unknown,2020-06-12,615,46.3257,79,43.19,43.19,47.08,30.0,43.19,1,,618.0,2020-06-11,102556026.28,45.3281,2020-06-17,46.6697,model_decay,0.74
F,Unknown,2020-06-17,618,4.8677,755,4.4782,4.4782,4.26,30.0,3.5,1,,623.0,2020-06-16,488273889.04,4.6923,2020-06-24,4.4876,model_decay,-7.81
MET,Unknown,2020-06-11,614,30.3961,332,27.9644,27.9644,26.61,100.0,21.8,1,,624.0,2020-06-10,200176809.21,29.6156,2020-06-25,29.0919,model_decay,-4.29
SWKS,Unknown,2020-08-24,665,123.3638,29,113.4947,113.4947,114.01,30.0,105.49,1,,670.0,2020-08-21,210552392.53,122.0225,2020-08-31,122.9287,model_decay,-0.35
INTU,Unknown,2020-09-09,676,311.2196,13,286.322,286.322,300.41,35.0,286.06,1,,681.0,2020-09-08,407053103.67,314.5602,2020-09-16,311.0383,model_decay,-0.06
SWKS,Unknown,2020-09-08,675,114.2878,31,105.49,105.49,114.01,30.0,105.49,2,,683.0,2020-09-04,206577430.82,112.235,2020-09-18,119.4839,model_decay,4.55
CRM,Unknown,2020-09-15,680,247.3422,34,227.5548,227.5548,193.16,70.0,188.46,1,,684.0,2020-09-14,3596930690.95,247.3998,2020-09-21,234.6711,model_decay,-5.12
PLD,Unknown,2020-10-15,702,87.9637,41,80.9266,80.9266,82.89,30.0,77.92,1,,707.0,2020-10-14,229747186.0,89.3569,2020-10-22,87.5244,model_decay,-0.5
F,Unknown,2020-07-30,648,5.0012,728,4.6011,4.6011,4.26,30.0,3.5,2,,,2020-07-29,353969661.25,4.9962,2020-10-23,6.1464,timeout,22.9
