attempt,edge_rank,fill_date,fill_idx,pattern_stop,pivot,positive_relative_ma50_slope,relative_ma50_missing_reason,relative_ma50_period,relative_ma50_signal_date,relative_ma50_slope_pct,relative_ma50_slope_sessions,sector,signal_date,spy_ma50_20_sessions_ago,spy_ma50_slope_pct,spy_ma50_value,stock_ma50_20_sessions_ago,stock_ma50_slope_pct,stock_ma50_value,stock_signal_close,symbol
1,30.0,2016-10-12,575,12.51,13.35,True,,50,2016-10-11,2.6871305065880646,20,Unknown,2016-10-11,184.481956,0.20034262863084518,184.851552,12.784396,2.88747313521891,13.153542,13.1611,AVGO
1,30.0,2016-10-14,577,58.04,62.73,True,,50,2016-10-13,6.124926093192373,20,Unknown,2016-10-13,184.658452,0.07823741531201023,184.802924,55.565648,6.2031635085043835,59.012476,62.347,SWKS
1,30.0,2016-10-14,577,58.27,62.73,True,,50,2016-10-13,6.124926093192373,20,Unknown,2016-10-13,184.658452,0.07823741531201023,184.802924,55.565648,6.2031635085043835,59.012476,62.347,SWKS
1,30.0,2016-11-10,596,73.49,81.64,True,,50,2016-11-09,1.104451726507516,20,Unknown,2016-11-09,184.838598,-0.7615444042699315,183.43097,76.757766,0.34290732223758447,77.020974,80.8239,VRSN
1,30.0,2016-12-23,626,45.47,49.68,True,,50,2016-12-22,4.2558918495857245,20,Unknown,2016-12-22,183.947974,1.6935505905599113,187.063226,49.563468,5.949442440145636,52.512218000000004,55.083,EMN
1,30.0,2017-02-27,541,52.82,56.97,True,,50,2017-02-24,6.065348529871084,20,Unknown,2017-02-24,192.550454,2.1613825953378463,196.712206,55.643,8.22673112520893,60.220600000000005,66.19,QRVO
1,30.0,2017-02-27,668,248.55,273.99,True,,50,2017-02-24,0.7112745177241475,20,Unknown,2017-02-24,192.550454,2.1613825953378463,196.712206,258.5272,2.872657113061994,265.9538,276.33,ULTA
1,30.0,2017-03-01,670,28.9,31.13,True,,50,2017-02-28,2.5708750890163667,20,Unknown,2017-02-28,192.967226,2.1424332440784344,197.10142,27.946399999999997,4.713308333094801,29.2636,31.1,TDC
1,30.0,2017-05-23,728,192.34,209.81,True,,50,2017-05-22,1.85298979863735,20,Unknown,2017-05-22,203.43411,0.6129424411668305,204.681044,201.196526,2.4659322398041805,206.157896,216.5489,MLM
1,30.0,2017-09-22,813,30.14,32.28,True,,50,2017-09-21,0.4217945960170555,20,Unknown,2017-09-21,212.67715199999998,0.8779946423205898,214.544446,31.051188000000003,1.2997892383376453,31.454787999999997,32.2516,TJX
1,30.0,2017-10-02,819,59.17,62.07,True,,50,2017-09-29,4.543770547119141,20,Unknown,2017-09-29,212.89562,1.02970460359868,215.08781599999998,58.066787999999995,5.5734751507178215,61.303126,65.8165,PRGO
1,100.0,2017-11-14,850,82.36,88.27,True,,50,2017-11-13,0.15201906379147534,20,Unknown,2017-11-13,216.67231800000002,2.0962687074774333,221.214352,84.969372,2.2482877712689087,86.879728,89.9712,SWKS
1,70.0,2017-11-20,854,39.67,42.03,True,,50,2017-11-17,0.10423363377287664,20,Unknown,2017-11-17,217.42033,2.1396039643578835,222.072264,42.249759999999995,2.24383759813076,43.197776000000005,43.7719,SYY
1,70.0,2017-12-08,867,17.48,18.23,True,,50,2017-12-07,1.652102994952287,20,Unknown,2017-12-07,220.56956399999999,2.0111541771919095,225.00555799999998,17.28702,3.6632571721441964,17.920288,18.1733,JEF
1,30.0,2017-12-08,867,17.48,18.23,True,,50,2017-12-07,1.652102994952287,20,Unknown,2017-12-07,220.56956399999999,2.0111541771919095,225.00555799999998,17.28702,3.6632571721441964,17.920288,18.1733,JEF
1,100.0,2018-01-05,885,71.19,75.1,True,,50,2018-01-04,0.6952124210333643,20,Unknown,2018-01-04,224.513286,2.205597756918487,229.46514599999998,72.932866,2.9008101779518514,75.04851,77.2976,PRU
1,30.0,2018-02-05,905,74.37,77.64,True,,50,2018-02-02,2.9352398812438674,20,Unknown,2018-02-02,229.46514599999998,3.5504415995272876,237.612172,73.060418,6.485681480771155,77.798884,83.0515,STT
1,30.0,2018-02-06,777,154.88,165.77,True,,50,2018-02-05,2.767723460425797,20,Unknown,2018-02-05,229.784086,3.4469219073770097,237.704564,157.0162,6.214645367802807,166.77419999999998,180.36,IDXX
1,85.0,2018-02-26,919,30.57,32.87,True,,50,2018-02-23,0.4174710254573277,20,Unknown,2018-02-23,234.933884,1.8153609549144356,239.198782,31.432280000000002,2.2328319803717633,32.13411,33.391,ADM
1,70.0,2018-02-27,920,224.22,243.22,True,,50,2018-02-26,2.3321649435627867,20,Unknown,2018-02-26,235.452968,1.6839363010280772,239.417846,236.85374,4.016101244590864,246.36602599999998,254.8206,HUM
1,30.0,2018-05-24,852,189.42,202.26,True,,50,2018-05-23,3.259136640597371,20,Unknown,2018-05-23,236.26775,-0.3875264398124689,235.35215,192.27540000000002,2.871610200784902,197.7968,204.16,IDXX
1,100.0,2018-05-30,984,37.32,41.06,True,,50,2018-05-29,2.2746213701006712,20,Unknown,2018-05-29,236.12647,-0.39015193849297747,235.20521799999997,39.397296000000004,1.8844694316076938,40.139726,41.5862,CTAS
