attempt,edge_rank,fill_date,fill_idx,pattern_stop,pivot,positive_relative_ma50_slope,relative_ma50_missing_reason,relative_ma50_period,relative_ma50_signal_date,relative_ma50_slope_pct,relative_ma50_slope_sessions,sector,signal_date,spy_ma50_20_sessions_ago,spy_ma50_slope_pct,spy_ma50_value,stock_ma50_20_sessions_ago,stock_ma50_slope_pct,stock_ma50_value,stock_signal_close,symbol
1,80.0,2022-02-02,526,12.79,13.83,True,,50,2022-02-01,5.197606692576596,20,Unknown,2022-02-01,436.44224,-0.6000161670877691,433.82351600000004,13.278912,4.597590525488826,13.889422,14.8294,HPE
1,30.0,2022-02-02,526,67.61,72.56,True,,50,2022-02-01,2.3585121330027436,20,Unknown,2022-02-01,436.44224,-0.6000161670877691,433.82351600000004,71.26647,1.7584959659149746,72.519688,73.0784,ES
1,30.0,2022-02-23,540,67.16,70.59,True,,50,2022-02-22,5.689132478914871,20,Unknown,2022-02-22,436.681984,-1.6201227115428596,429.60720000000003,66.979736,4.069009767372012,69.705148,72.2723,LYB
1,100.0,2022-02-25,542,84.45,92.04,True,,50,2022-02-24,2.788613550262864,20,Unknown,2022-02-24,435.55419,-1.7273542931592556,428.030626,91.129476,1.0612592571036084,92.096596,94.1278,BXP
1,70.0,2022-02-25,542,61.83,68.1,True,,50,2022-02-24,8.96343322042198,20,Unknown,2022-02-24,435.55419,-1.7273542931592556,428.030626,61.613894,7.2360789272627235,66.072324,70.0757,OMC
1,70.0,2022-03-28,563,177.61,191.35,True,,50,2022-03-25,4.227204916720206,20,Unknown,2022-03-25,427.579214,-3.0893704762739005,414.369708,188.126842,1.1378344404463059,190.267414,200.83,JBHT
1,30.0,2022-04-07,571,48.73,57.6,True,,50,2022-04-06,2.22671382749704,20,Unknown,2022-04-06,422.088772,-1.6066032668597074,415.30748,54.377399999999994,0.6201105606373325,54.7146,55.04,ALK
1,30.0,2022-04-28,585,178.11,199.17,True,,50,2022-04-27,3.23383817841959,20,Unknown,2022-04-27,414.201474,-0.2704065703059366,413.08144599999997,185.5783,2.9634316081136536,191.077786,200.7185,TGT
1,30.0,2022-05-03,588,155.3,172.24,True,,50,2022-05-02,3.16477083133343,20,Unknown,2022-05-02,414.4368,-0.6520284878176796,411.734554,160.67688,2.5127423435157503,164.71427599999998,171.1293,MAR
1,30.0,2022-05-06,591,32.06,35.0,True,,50,2022-05-05,2.564646821967176,20,Unknown,2022-05-05,415.30748,-0.962659762352458,411.309482,33.603018,1.6019870596147179,34.141334,35.1283,WY
1,70.0,2022-05-11,594,47.26,52.07,True,,50,2022-05-10,8.355159816745438,20,Unknown,2022-05-10,415.94431599999996,-1.5229471244896153,409.60970399999997,46.377918,6.8322126922558235,49.546556,52.4826,DVN
1,70.0,2022-05-23,602,272.84,289.73,True,,50,2022-05-20,8.530961391431646,20,Unknown,2022-05-20,414.267,-2.2522093239384255,404.93684,264.34186,6.278752067493221,280.93923,289.0956,LLY
1,100.0,2022-05-24,603,79.44,87.06,True,,50,2022-05-23,2.4282450565195512,20,Unknown,2022-05-23,413.90044199999994,-2.2652896804589373,404.524398,81.196462,0.16295537606061394,81.328776,84.7262,PM
1,30.0,2022-06-02,609,60.1,63.97,True,,50,2022-06-01,3.993997482184586,20,Unknown,2022-06-01,411.422988,-2.452595575432448,401.332446,62.399300000000004,1.5414019067521378,63.361124,63.8951,L
1,30.0,2022-06-03,610,79.44,87.06,True,,50,2022-06-02,6.07826006454073,20,Unknown,2022-06-02,411.438474,-2.604000519406946,400.724614,80.28645999999999,3.4742595451337843,83.07582000000001,87.4431,PM
1,70.0,2022-11-11,599,430.01,454.45,True,,50,2022-11-10,6.443411847818126,20,Unknown,2022-11-10,373.70301,-3.7602308849479127,359.650914,451.16464999999994,2.683180962870213,463.27021399999995,492.4962,ELV
1,70.0,2022-11-18,727,120.67,129.22,True,,50,2022-11-17,6.920291671812285,20,Unknown,2022-11-17,369.248454,-2.5356942997519005,359.88544199999995,118.532708,4.384597372060384,123.72989,135.6382,DGX
1,56.0,2022-11-22,729,121.4,129.22,True,,50,2022-11-21,7.162393515098975,20,Unknown,2022-11-21,367.526348,-2.201273471691323,359.43608800000004,118.46026599999999,4.961120043407652,124.337222,136.14,DGX
1,70.0,2022-12-07,739,51.8,55.29,True,,50,2022-12-06,6.562404450621506,20,Unknown,2022-12-06,360.41821000000004,0.7632938413405732,363.16926,55.726046,7.3256982919620794,59.808368,65.844,AFL
1,70.0,2022-12-22,750,77.97,85.19,True,,50,2022-12-21,2.9022205944238877,20,Unknown,2022-12-21,359.596148,2.4781099713003574,368.507336,76.051684,5.380330565724245,80.143516,86.0772,PM
1,30.0,2023-01-17,765,162.78,188.65,True,,50,2023-01-13,12.38939810616133,20,Unknown,2023-01-13,366.68221400000004,1.5555213157952386,372.386034,158.60399999999998,13.94491942195657,180.72119999999998,192.0,MRNA
1,75.0,2023-02-01,776,51.5,56.63,True,,50,2023-01-31,2.4996674085935755,20,Unknown,2023-01-31,370.62901400000004,1.357801415946347,375.66142,51.78432,3.8574688245399225,53.781884,55.0517,PEG
1,30.0,2023-03-06,798,183.26,221.62,True,,50,2023-03-03,22.160576387407673,20,Unknown,2023-03-03,376.44400800000005,0.9889024452210293,380.16667200000006,220.15959999999998,23.149478832628702,271.1254,334.56,ALGN
1,30.0,2023-04-05,820,108.93,118.25,True,,50,2023-04-04,5.073969530517708,20,Unknown,2023-04-04,380.854548,0.9292681467466535,384.39370799999995,107.693254,6.003237677264361,114.158336,116.9068,AMAT
1,30.0,2023-04-06,821,113.82,125.28,True,,50,2023-04-05,2.5194621316352306,20,Unknown,2023-04-05,381.2026,0.8820427772528339,384.56497,114.619032,3.4015049088880644,118.517804,123.9492,MPC
1,30.0,2023-06-12,866,184.12,196.6,True,,50,2023-06-09,2.779877907032313,20,Unknown,2023-06-09,387.87963199999996,2.528239482293837,397.686158,188.49809199999999,5.30811738932615,198.503792,211.6484,CRM
1,30.0,2023-07-05,881,246.86,272.31,True,,50,2023-07-03,1.4127266076505496,20,Unknown,2023-07-03,394.64635999999996,2.8210796116300285,405.779648,265.38182,4.233806219280578,276.617572,293.364,ACN
1,30.0,2023-08-03,902,91.2,96.21,True,,50,2023-08-02,2.0667189169277567,20,Unknown,2023-08-02,406.404998,3.788667480905361,421.80233200000004,109.042744,5.855386397833118,115.427618,121.9899,DHI
1,70.0,2023-08-08,905,31.56,34.98,True,,50,2023-08-07,6.5172905337528055,20,Unknown,2023-08-07,408.318814,3.807091289210107,423.863884,38.71302,10.324381822962913,42.7099,44.076,NFLX
1,70.0,2023-08-30,921,62.71,68.08,True,,50,2023-08-29,5.676501499469899,20,Unknown,2023-08-29,421.16534399999995,1.7829748119066569,428.674616,66.705058,7.459476311376556,71.680906,76.7184,TXT
1,30.0,2023-08-30,405,72.42,76.74,True,,50,2023-08-29,5.596709273731726,20,Unknown,2023-08-29,421.16534399999995,1.7829748119066569,428.674616,89.695574,7.379684085638383,96.314824,103.6871,CEG
1,30.0,2023-09-28,558,325.79,347.68,True,,50,2023-09-27,3.3486615051879776,20,Unknown,2023-09-27,428.674616,0.15033593684958824,429.31906799999996,335.12376600000005,3.498997442037566,346.849738,363.8716,EG
1,70.0,2023-10-23,747,73.39,78.14,True,,50,2023-10-20,3.598709651824794,20,Unknown,2023-10-20,430.583442,-1.89444860260094,422.42625999999996,74.129958,1.7042610492238541,75.393326,78.6964,ACGL
1,30.0,2023-10-25,960,199.41,211.54,True,,50,2023-10-24,7.411282825833254,20,Unknown,2023-10-24,429.832314,-1.9323181923451171,421.526586,232.06275000000002,5.478964633488137,244.777386,253.858,AMGN
1,70.0,2023-12-08,745,103.39,109.94,True,,50,2023-12-07,3.2735818960042407,20,Unknown,2023-12-07,418.528714,0.9749926022996735,422.609338,100.61370000000001,4.248574498303914,104.88834800000001,110.161,STLD
1,30.0,2024-01-03,1007,26.31,28.58,True,,50,2024-01-02,3.760561601748136,20,Unknown,2024-01-02,420.449508,3.6265034706616905,435.697124,28.438412,7.387065072409826,30.539176,32.4712,VZ
1,30.0,2024-01-03,1007,26.31,28.58,True,,50,2024-01-02,3.760561601748136,20,Unknown,2024-01-02,420.449508,3.6265034706616905,435.697124,28.438412,7.387065072409826,30.539176,32.4712,VZ
1,70.0,2024-01-04,556,384.37,419.86,True,,50,2024-01-03,7.57028316393744,20,Unknown,2024-01-03,420.957462,3.728833769907136,436.654266,403.8882,11.299116933844576,449.524,498.02,LULU
1,30.0,2024-01-05,1009,13.16,14.31,True,,50,2024-01-04,2.798422877936857,20,Unknown,2024-01-04,421.42868000000004,3.8363611133442443,437.596206,14.100866000000002,6.634783991281101,15.036428,17.0445,RF
1,30.0,2024-01-29,1024,56.95,63.58,True,,50,2024-01-26,0.7627316349026136,20,Unknown,2024-01-26,433.033288,4.6239562996367,453.056558,56.543502,5.386687934539314,59.589324,61.2495,PYPL
1,70.0,2024-02-02,1028,91.71,98.31,True,,50,2024-02-01,1.925940163413986,20,Unknown,2024-02-01,436.654266,4.47697309339925,456.20315999999997,87.23982,6.402913256813236,92.82571,97.2615,TROW
1,70.0,2024-02-07,1031,60.45,66.22,True,,50,2024-02-06,3.0362081271949837,20,Unknown,2024-02-06,439.6296,4.316741638870547,458.607274,73.618482,7.352949766065531,79.031612,81.9528,STX
1,35.0,2024-02-13,1035,112.22,120.07,True,,50,2024-02-12,0.7865462325030936,20,Unknown,2024-02-12,444.544162,3.9785334083411117,462.2305,120.484534,4.765079640844205,126.225718,126.7119,MTB
1,65.0,2024-03-01,1047,583.39,636.04,True,,50,2024-02-29,5.54413055564924,20,Unknown,2024-02-29,455.422116,3.6746625629397345,472.15734199999997,581.8981,9.218793118588975,635.542082,706.7471,MPWR
1,70.0,2024-03-04,1048,10.29,10.99,True,,50,2024-03-01,6.92500519839061,20,Unknown,2024-03-01,456.20315999999997,3.671136341975356,472.95099999999996,9.635866,10.596141540365966,10.656896,11.3276,VTRS
1,30.0,2024-03-07,1051,185.45,202.44,True,,50,2024-03-06,0.8312085107859968,20,Unknown,2024-03-06,458.607274,3.6078568609882122,475.153168,194.12433199999998,4.439065371774209,202.741638,214.7307,ODFL
