symbol,signal_date,period,pit_member,facts_cached,event_available,filed,event_age_days,fresh_120d,form,accession,eps_growth,revenue_growth,revenue_tag
AKAM,2016-01-19,outside_experiment,True,True,True,2015-11-09,71,True,10-Q,0001086222-15-000181,-0.020000000000000018,0.10639263355299344,Revenues
ALB,2015-01-09,outside_experiment,False,True,False,,,False,,,,,
ALB,2015-06-01,outside_experiment,False,True,False,,,False,,,,,
ALGN,2017-02-10,fit,False,True,False,,,False,,,,,
ALGN,2019-06-20,calibration,True,True,True,2019-05-02,49,True,10-Q,0001097149-19-000022,-0.23931623931623924,0.256445056806218,RevenueFromContractWithCustomerExcludingAssessedTax
ALGN,2019-11-05,outside_experiment,True,True,True,2019-10-31,5,True,10-Q,0001097149-19-000036,0.032258064516129004,0.20196758686613014,RevenueFromContractWithCustomerExcludingAssessedTax
ALGN,2020-09-04,internal_holdout,True,True,True,2020-05-05,122,False,10-Q,0001097149-20-000025,20.58426966292135,0.0036286069755961936,RevenueFromContractWithCustomerExcludingAssessedTax
ALGN,2020-12-14,internal_holdout,True,True,True,2020-10-30,45,True,10-Q,0001097149-20-000052,0.375,0.20878386277231398,RevenueFromContractWithCustomerExcludingAssessedTax
ALL,2018-10-29,outside_experiment,True,True,True,2018-08-01,89,True,10-Q,0000899051-18-000044,0.20805369127516782,0.029145011719148073,Revenues
AMAT,2017-10-02,fit,True,True,True,2017-08-24,39,True,10-Q,0000006951-17-000026,0.8478260869565215,0.3271889400921659,SalesRevenueNet
AMAT,2021-02-05,internal_holdout,True,True,True,2020-12-11,56,True,10-K,0000006951-20-000048,0.3706293706293706,0.17757393209200445,RevenueFromContractWithCustomerExcludingAssessedTax
AMAT,2021-02-08,internal_holdout,True,True,True,2020-12-11,59,True,10-K,0000006951-20-000048,0.3706293706293706,0.17757393209200445,RevenueFromContractWithCustomerExcludingAssessedTax
AMAT,2021-09-10,internal_holdout,True,True,True,2021-08-26,15,True,10-Q,0000006951-21-000034,1.0549450549450552,0.4097838452787259,RevenueFromContractWithCustomerExcludingAssessedTax
AMCR,2019-04-01,calibration,False,True,False,,,False,,,,,
AMD,2017-02-13,fit,False,True,False,,,False,,,,,
AMD,2017-02-17,fit,False,True,False,,,False,,,,,
AMD,2017-02-21,fit,False,True,False,,,False,,,,,
AMD,2017-02-22,fit,False,True,False,,,False,,,,,
AMD,2018-07-27,outside_experiment,True,True,True,2014-10-30,1366,False,10-Q,0001193125-14-389701,-0.6666666666666666,-0.021902806297056765,SalesRevenueNet
AME,2014-10-07,outside_experiment,True,True,True,2014-08-06,62,True,10-Q,0001193125-14-297855,0.1730769230769229,0.127341663546914,SalesRevenueNet
AME,2014-10-08,outside_experiment,True,True,True,2014-08-06,63,True,10-Q,0001193125-14-297855,0.1730769230769229,0.127341663546914,SalesRevenueNet
AME,2014-11-14,outside_experiment,True,True,True,2014-11-06,8,True,10-Q,0001193125-14-400229,0.09615384615384603,0.15933038653671994,SalesRevenueNet
AMG,2020-03-12,internal_holdout,False,True,False,,,False,,,,,
AMG,2020-03-13,internal_holdout,False,True,False,,,False,,,,,
AMGN,2019-08-12,outside_experiment,True,True,True,2019-07-31,12,True,10-Q,0000318154-19-000037,0.025862068965517127,-0.03102822247895687,Revenues
AMGN,2021-01-28,internal_holdout,True,True,True,2020-10-29,91,True,10-Q,0000318154-20-000060,0.04892966360856277,0.11957469060484582,Revenues
AMGN,2021-03-25,internal_holdout,True,True,True,2021-02-09,44,True,10-K,0000318154-21-000010,-0.04425465838509324,0.08826299118226189,Revenues
AMGN,2021-05-20,internal_holdout,True,True,True,2021-04-28,22,True,10-Q,0000318154-21-000019,-0.07817589576547224,-0.04220094140561592,Revenues
AMP,2015-05-08,outside_experiment,True,True,True,2015-05-04,4,True,10-Q,0000820027-15-000064,0.034825870646766344,0.018981018981018893,Revenues
AMP,2015-08-21,outside_experiment,True,True,True,2015-08-03,18,True,10-Q,0000820027-15-000098,0.16753926701570676,0.018187723286781532,Revenues
AMP,2020-07-13,internal_holdout,True,True,True,2020-05-11,63,True,10-Q,0000820027-20-000042,4.631205673758866,-0.04027909927053597,Revenues
AMZN,2014-09-19,outside_experiment,True,True,True,2014-04-25,147,False,10-Q,0001018724-14-000014,0.2777777777777779,0.22843808338518978,SalesRevenueNet
AMZN,2021-09-28,internal_holdout,True,True,True,2021-07-30,60,True,10-Q,0001018724-21-000020,0.46796116504854357,0.27181932697498645,RevenueFromContractWithCustomerExcludingAssessedTax
