cagr_pct,calmar,clustered_stop_share_pct,clustered_stops,exposure_matched_excess_cagr_pct,large_cohort_stop_rate_pct,large_cohort_stops,large_cohort_trades,largest_entry_cohort,max_drawdown_pct,partition,profit_factor,sharpe,signals,sortino,spy_cagr_pct,stop_rate_pct,stops,trades,wait_sessions
20.08,2.2585696081905895,42.857142857142854,3,8.927629286435735,37.5,3,8,8,-8.89,train,10.097646165527715,1.5978605316160348,3002,2.37710077895658,9.695917789458598,38.888888888888886,7,18,0
20.08,2.2585696081905895,42.857142857142854,3,8.927629286435735,37.5,3,8,8,-8.89,train,10.097646165527715,1.5978605316160348,3002,2.37710077895658,9.695917789458598,38.888888888888886,7,18,2
20.08,2.2585696081905895,42.857142857142854,3,8.927629286435735,37.5,3,8,8,-8.89,train,10.097646165527715,1.5978605316160348,3002,2.37710077895658,9.695917789458598,38.888888888888886,7,18,3
20.08,2.2585696081905895,42.857142857142854,3,8.927629286435735,37.5,3,8,8,-8.89,train,10.097646165527715,1.5978605316160348,3002,2.37710077895658,9.695917789458598,38.888888888888886,7,18,4
20.08,2.2585696081905895,42.857142857142854,3,8.927629286435735,37.5,3,8,8,-8.89,train,10.097646165527715,1.5978605316160348,3002,2.37710077895658,9.695917789458598,38.888888888888886,7,18,5
