attempt,candidate_priority,edge_rank,fill_date,fill_idx,pattern_stop,pivot,positive_relative_ma_slope,qqq_followthrough_wait_sessions,qqq_risk_on_age_sessions,qqq_risk_on_start,relative_ma_missing_reason,relative_ma_period,relative_ma_signal_date,relative_ma_slope_pct,relative_ma_slope_sessions,sector,signal_date,spy_ma_20_sessions_ago,spy_ma_slope_pct,spy_ma_value,stock_ma_20_sessions_ago,stock_ma_slope_pct,stock_ma_value,stock_signal_close,symbol
1,3.3302347321300996,85.8302347321301,2022-06-16,511,0.0,,True,2,2,2022-06-14,,60,2022-06-15,3.3302347321300996,10,Real Estate,2022-06-15,401.88786666666664,-1.1798651796405712,397.1461316666663,22.667731666666654,2.1503695524895283,23.155171666666682,23.1818,VICI
1,3.0908946597243636,85.59089465972437,2022-06-16,619,0.0,,True,2,2,2022-06-14,,60,2022-06-15,3.0908946597243636,10,Unknown,2022-06-15,401.88786666666664,-1.1798651796405712,397.1461316666663,177.58316666666676,1.9110294800837924,180.9768333333331,188.48,ENPH
1,2.6359314277204504,85.13593142772045,2022-06-16,619,0.0,,True,2,2,2022-06-14,,60,2022-06-15,2.6359314277204504,10,Consumer Discretionary,2022-06-15,401.88786666666664,-1.1798651796405712,397.1461316666663,391.9006666666673,1.4560662480798792,397.6070000000007,405.61,ULTA
1,2.557362988001999,85.057362988002,2022-06-16,619,0.0,,True,2,2,2022-06-14,,60,2022-06-15,2.557362988001999,10,Consumer Staples,2022-06-15,401.88786666666664,-1.1798651796405712,397.1461316666663,210.6224766666671,1.3774978083614275,213.52379666666698,214.8977,DG
1,2.4105383352461374,84.91053833524614,2022-06-16,619,0.0,,True,2,2,2022-06-14,,60,2022-06-15,2.4105383352461374,10,Unknown,2022-06-15,401.88786666666664,-1.1798651796405712,397.1461316666663,30.958666666666613,1.2306731556055661,31.339666666666684,32.34,DXC
1,2.3029378247293897,84.80293782472938,2022-06-16,619,0.0,,True,2,2,2022-06-14,,60,2022-06-15,2.3029378247293897,10,Industrials,2022-06-15,401.88786666666664,-1.1798651796405712,397.1461316666663,423.14404333333465,1.1230726450888184,427.8962583333341,429.7793,NOC
1,1.9638222112107195,84.46382221121073,2022-06-16,619,0.0,,True,2,2,2022-06-14,,60,2022-06-15,1.9638222112107195,10,Consumer Staples,2022-06-15,401.88786666666664,-1.1798651796405712,397.1461316666663,60.48099333333339,0.7839570315701483,60.95513833333352,61.6043,BF-B
1,5.438621450133107,87.93862145013311,2022-06-21,621,0.0,,True,2,4,2022-06-14,,60,2022-06-17,5.438621450133107,10,Unknown,2022-06-17,401.68152499999945,-1.7529521677651982,394.64023999999966,57.58090333333324,3.6856692823679094,59.70314499999986,60.5221,LW
1,3.053819911631106,85.55381991163111,2022-06-21,621,0.0,,True,2,4,2022-06-14,,60,2022-06-17,3.053819911631106,10,Unknown,2022-06-17,401.68152499999945,-1.7529521677651982,394.64023999999966,178.2399999999999,1.3008677438659078,180.55866666666648,184.75,ENPH
1,2.4783536317102173,84.97835363171022,2022-06-21,621,0.0,,True,2,4,2022-06-14,,60,2022-06-17,2.4783536317102173,10,Consumer Staples,2022-06-17,401.68152499999945,-1.7529521677651982,394.64023999999966,60.54279666666686,0.725401463945019,60.98197500000012,61.1268,BF-B
1,1.7626829918913844,84.26268299189138,2022-06-21,621,0.0,,True,2,4,2022-06-14,,60,2022-06-17,1.7626829918913844,10,Industrials,2022-06-17,401.68152499999945,-1.7529521677651982,394.64023999999966,156.4958233333331,0.0097308241261862,156.5110516666665,169.3858,FDX
1,6.631173062892737,89.13117306289274,2022-06-22,622,0.0,,True,2,5,2022-06-14,,60,2022-06-21,6.631173062892737,10,Energy,2022-06-21,401.4869016666659,-1.994482252536267,393.47931666666653,76.19428333333369,4.63669081035647,79.72717666666735,83.1374,PSX
1,5.17949616340605,87.67949616340604,2022-06-22,622,0.0,,True,2,5,2022-06-14,,60,2022-06-21,5.17949616340605,10,Energy,2022-06-21,401.4869016666659,-1.994482252536267,393.47931666666653,75.78486000000012,3.185013910869783,78.19861833333331,79.9872,XOM
1,4.600966007391216,87.10096600739122,2022-06-22,106,0.0,,True,2,5,2022-06-14,,60,2022-06-21,4.600966007391216,10,Utilities,2022-06-21,401.4869016666666,-1.9944822525364447,393.4793166666665,56.6305083333333,2.6064837548547715,58.106573333333316,58.5473,CEG
