dimension,value,entry_percentile,exit_percentile,signals,trades,cagr_pct,sharpe,profit_factor,drop_top_5_expectancy_pct,max_drawdown_pct
entry_percentile,80.0,80.0,50,157,116,-0.92,-0.24402940329305867,1.0375848870230893,-1.4912612612612612,-7.93
entry_percentile,82.5,82.5,50,147,108,0.17,0.06782027821858806,1.1017142857142856,-1.5948543689320387,-3.96
entry_percentile,85.0,85.0,50,125,89,0.05,0.03148334699864944,1.0594344506276692,-1.7054761904761904,-6.81
entry_percentile,87.5,87.5,50,109,73,0.42,0.14191052334332943,1.417289262663798,-1.0958823529411763,-5.93
entry_percentile,90.0,90.0,50,97,67,0.87,0.2825264214140401,1.6154235999662134,-0.5232258064516129,-5.13
exit_percentile,40.0,85.0,40,125,89,0.18,0.06689149194195321,1.0293404807390722,-1.8630952380952381,-6.7
exit_percentile,45.0,85.0,45,125,89,0.06,0.034647323607895304,1.2016539440203562,-1.4279761904761905,-6.87
exit_percentile,55.0,85.0,55,125,92,0.04,0.027505971126637788,1.2423553027768484,-1.311264367816092,-6.27
exit_percentile,60.0,85.0,60,125,91,0.23,0.08667379202312947,1.2980239824353992,-1.142906976744186,-5.93
