cost_multiplier,trades,cagr_pct,total_return_pct,profit_factor,expectancy_pct,max_drawdown_pct
1,89,0.05,0.19,1.0594344506276692,0.20640449438202252,-6.81
2,90,-0.11,-0.44,1.1440249984218167,0.5070000000000001,-7.03
5,93,-1.18,-4.6,0.9369106665939936,-0.24892473118279607,-7.6
10,94,-2.05,-7.87,0.7152327821279364,-1.2109574468085105,-9.17
