date,equity,cash,positions,gross_exposure_pct,portfolio_return,spy_return,excess_return,exposure_matched_spy_return,exposure_matched_excess_return
2016-07-12,100037.12,96368.87,1,3.6669,0.00037118,0.0,0.00037118,0.0,0.00037118
2016-07-13,100052.92,96368.87,1,3.6821,0.00015797,-0.00013982,0.00029779,-5.13e-06,0.0001631
2016-07-14,100022.17,96368.87,1,3.6525,-0.00030733,0.00558306,-0.00589039,0.00020557,-0.00051291
2016-07-15,100050.02,96368.87,1,3.6793,0.0002784,-0.00134116,0.00161956,-4.899e-05,0.00032738
2016-07-18,100082.43,96368.87,1,3.7105,0.00032399,0.00268647,-0.00236248,9.884e-05,0.00022515
2016-07-19,100089.48,96368.87,1,3.7173,7.039e-05,-0.00101605,0.00108644,-3.77e-05,0.00010809
2016-07-20,100160.59,96368.87,1,3.7856,0.00071051,0.00416337,-0.00345287,0.00015476,0.00055574
2016-07-21,100082.0,96368.87,1,3.7101,-0.00078462,-0.00377731,0.00299269,-0.000143,-0.00064162
2016-07-22,100112.37,96368.87,1,3.7393,0.00030344,0.00448481,-0.00418137,0.00016639,0.00013705
2016-07-25,100136.89,96368.87,1,3.7629,0.00024486,-0.00271605,0.00296092,-0.00010156,0.00034643
2016-07-26,100176.78,96368.87,1,3.8012,0.00039834,0.00046168,-6.333e-05,1.737e-05,0.00038097
2016-07-27,100191.77,96368.87,1,3.8156,0.00014968,-0.00106104,0.00121071,-4.033e-05,0.00019001
2016-07-28,100238.32,96368.87,1,3.8603,0.00046464,0.00115488,-0.00069024,4.407e-05,0.00042057
2016-07-29,100100.71,96368.87,1,3.7281,-0.00137284,0.00161443,-0.00298727,6.232e-05,-0.00143517
2016-08-01,100143.12,96368.87,1,3.7689,0.00042369,-0.00082889,0.00125258,-3.09e-05,0.00045459
2016-08-02,100099.05,96368.87,1,3.7265,-0.00044015,-0.00640773,0.00596759,-0.0002415,-0.00019865
2016-08-03,100143.12,96368.87,1,3.7689,0.00044034,0.00292307,-0.00248273,0.00010893,0.00033141
2016-08-04,100141.01,100141.01,0,0.0,-2.107e-05,0.00106329,-0.00108436,4.007e-05,-6.114e-05
2016-08-05,100141.01,100141.01,0,0.0,0.0,0.00817942,-0.00817942,0.0,0.0
2016-08-08,100141.01,100141.01,0,0.0,0.0,-0.00059565,0.00059565,-0.0,0.0
2016-08-09,100141.01,100141.01,0,0.0,0.0,0.000596,-0.000596,0.0,0.0
2016-08-10,99983.21,96504.48,1,3.4793,-0.00157581,-0.00247459,0.00089878,-0.0,-0.00157581
2016-08-11,99974.63,96504.48,1,3.471,-8.584e-05,0.00464052,-0.00472636,0.00016146,-0.0002473
2016-08-12,99977.77,99977.77,0,0.0,3.14e-05,-0.00086927,0.00090066,-3.017e-05,6.157e-05
2016-08-15,99977.77,99977.77,0,0.0,0.0,0.0028836,-0.0028836,0.0,0.0
2016-08-16,99977.59,96390.21,1,3.5882,-1.76e-06,-0.00515744,0.00515568,-0.0,-1.76e-06
2016-08-17,99982.69,96390.21,1,3.5931,5.105e-05,0.00188085,-0.00182979,6.749e-05,-1.644e-05
2016-08-18,99938.86,96390.21,1,3.5508,-0.00043844,0.0022445,-0.00268294,8.065e-05,-0.00051909
2016-08-19,99958.44,96390.21,1,3.5697,0.0001959,-0.00146223,0.00165813,-5.192e-05,0.00024782
