symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,entry_day_stop,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
AN,Unknown,2016-07-25,519,52.2722,69,48.0904,48.0904,52.04,30.0,46.09,1,,528.0,False,2016-07-22,62950451.05,51.98,2016-08-03,48.0423,stop,-8.09
LRCX,Unknown,2016-07-21,517,7.9668,456,7.3294,7.3294,7.34,30.0,7.09,1,,534.0,False,2016-07-20,185056702.87,7.8007,2016-08-15,7.7798,model_decay,-2.35
CAT,Unknown,2016-07-20,516,63.8635,56,58.7544,58.7544,62.59,30.0,58.34,1,,547.0,False,2016-07-19,295813614.07,63.9925,2016-09-01,65.4527,model_decay,2.49
LRCX,Unknown,2016-09-07,550,8.1696,443,7.516,7.516,7.34,30.0,7.09,2,,556.0,False,2016-09-06,183920935.75,8.2129,2016-09-15,8.0156,model_decay,-1.89
CAT,Unknown,2016-10-05,570,70.8327,51,65.166,65.166,62.59,30.0,58.34,2,,,False,2016-10-04,332995398.61,71.8058,2016-11-02,65.1008,stop,-8.09
HRL,Unknown,2016-11-01,589,29.4725,122,28.0,28.0,29.34,30.0,28.0,1,,,False,2016-10-31,58915576.15,29.1828,2016-11-03,27.972,stop,-5.09
VRSN,Unknown,2016-11-02,590,81.6541,44,75.1217,75.1217,81.64,30.0,73.49,1,,600.0,False,2016-11-01,76794361.69,79.6221,2016-11-16,77.407,model_decay,-5.2
DOV,Unknown,2016-11-25,606,49.9669,2,48.0,48.0,49.88,30.0,48.0,1,,630.0,False,2016-11-23,113452383.32,49.917,2016-11-29,47.952,stop,-4.03
VLO,Unknown,2016-10-27,586,40.4933,89,37.2538,37.2538,37.76,30.0,35.89,1,,615.0,False,2016-10-26,227816398.11,40.0914,2016-12-08,46.675,model_decay,15.27
HUM,Unknown,2016-11-18,602,186.0824,19,171.1958,171.1958,163.24,30.0,151.88,1,,619.0,False,2016-11-17,255731197.38,184.2123,2016-12-14,187.6598,model_decay,0.85
AZO,Unknown,2016-11-25,606,796.9461,4,733.1905,733.1905,783.33,30.0,720.45,1,,624.0,False,2016-11-23,248876827.0,797.96,2016-12-21,807.7015,model_decay,1.35
APA,Unknown,2016-12-01,610,52.513,4,48.3119,48.3119,50.13,85.0,45.19,1,,630.0,False,2016-11-30,189725810.22,50.709,2016-12-30,49.6706,model_decay,-5.41
EMN,Unknown,2016-12-23,626,55.1236,67,50.7137,50.7137,49.68,30.0,45.47,1,,631.0,False,2016-12-22,82294232.82,55.54,2017-01-03,54.9627,model_decay,-0.29
MAR,Unknown,2016-11-11,597,67.1294,59,61.759,61.759,64.84,33.3,60.42,1,,633.0,False,2016-11-10,202799584.77,67.2824,2017-01-05,75.4583,model_decay,12.41
RF,Unknown,2016-11-16,600,9.2627,912,8.5216,8.5216,7.06,70.0,6.56,1,,633.0,False,2016-11-15,190192766.67,9.0293,2017-01-05,10.2216,model_decay,10.35
