symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,entry_day_stop,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
AN,Unknown,2016-07-29,523,52.3323,69,48.1457,48.1457,52.04,30.0,46.09,1,,527.0,False,2016-07-28,61235650.25,53.35,2016-08-03,48.0976,stop,-8.09
CAT,Unknown,2016-07-13,511,63.6761,57,58.582,58.582,62.59,30.0,58.34,1,,532.0,False,2016-07-12,287800904.4,63.3819,2016-08-11,66.5838,model_decay,4.57
LRCX,Unknown,2016-08-16,535,7.9056,459,7.2731,7.2731,7.34,30.0,7.09,1,,538.0,False,2016-08-15,193443991.75,7.8479,2016-08-19,8.0485,model_decay,1.81
CAT,Unknown,2016-08-22,539,67.2154,54,61.8382,61.8382,62.59,30.0,58.34,2,,547.0,False,2016-08-19,280640953.45,67.1242,2016-09-01,65.4527,model_decay,-2.62
LRCX,Unknown,2016-08-26,543,8.1661,444,7.5128,7.5128,7.34,30.0,7.09,2,,550.0,False,2016-08-25,189183529.23,8.1928,2016-09-07,8.1532,model_decay,-0.16
CAT,Unknown,2016-09-13,554,65.1898,55,59.9746,59.9746,62.59,30.0,58.34,3,,556.0,False,2016-09-12,233545336.11,64.4261,2016-09-15,64.843,model_decay,-0.53
KMI,Unknown,2016-10-03,568,14.0576,258,12.933,12.933,13.81,30.0,12.86,1,,572.0,False,2016-09-30,231388975.29,13.9406,2016-10-07,13.4183,model_decay,-4.55
AVGO,Unknown,2016-10-07,572,13.4598,270,12.51,12.51,13.35,30.0,12.51,1,,576.0,False,2016-10-06,409369974.97,13.3949,2016-10-13,12.9636,model_decay,-3.69
SWKS,Unknown,2016-10-07,572,63.9815,56,58.863,58.863,62.73,30.0,58.04,1,,580.0,False,2016-10-06,218421706.81,63.9256,2016-10-19,62.1076,model_decay,-2.93
AVGO,Unknown,2016-10-25,584,13.5483,267,12.51,12.51,13.35,30.0,12.51,2,,591.0,False,2016-10-24,289916038.3,13.3518,2016-11-03,13.2463,model_decay,-2.23
HRL,Unknown,2016-11-01,589,29.4725,122,28.0,28.0,29.34,30.0,28.0,1,,591.0,False,2016-10-31,58915576.15,29.1828,2016-11-03,28.8324,model_decay,-2.17
