symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,entry_day_stop,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
CAT,Unknown,2016-07-13,511,63.6761,57,58.582,58.582,62.59,30.0,58.34,1,,526.0,False,2016-07-12,287800904.4,63.3819,2016-08-03,65.0997,model_decay,2.24
AN,Unknown,2016-07-25,519,52.2722,69,48.0904,48.0904,52.04,30.0,46.09,1,,527.0,False,2016-07-22,62950451.05,51.98,2016-08-03,48.0423,stop,-8.09
LRCX,Unknown,2016-07-11,509,7.472,486,7.09,7.09,7.34,30.0,7.09,1,,533.0,False,2016-07-08,170453077.28,7.5396,2016-08-12,7.7702,model_decay,3.99
LRCX,Unknown,2016-08-24,541,8.2089,442,7.5522,7.5522,7.34,30.0,7.09,2,,560.0,False,2016-08-23,197975113.38,8.095,2016-09-21,8.0988,model_decay,-1.34
SWKS,Unknown,2016-10-07,572,63.9815,56,58.863,58.863,62.73,30.0,58.04,1,,577.0,False,2016-10-06,218421706.81,63.9256,2016-10-14,62.6468,model_decay,-2.09
HRL,Unknown,2016-11-01,589,29.4725,123,28.0,28.0,29.34,30.0,28.0,1,,,False,2016-10-31,58915576.15,29.1828,2016-11-03,27.972,stop,-5.09
VRSN,Unknown,2016-10-31,588,83.4289,43,76.7546,76.7546,81.64,30.0,73.49,1,,592.0,False,2016-10-28,76021716.06,82.7644,2016-11-04,79.1292,model_decay,-5.15
VLO,Unknown,2016-10-19,580,37.8046,96,35.89,35.89,37.76,30.0,35.89,1,,610.0,False,2016-10-18,212675778.52,37.1805,2016-12-01,42.2756,model_decay,11.83
SWKS,Unknown,2016-11-23,605,64.1029,4,58.9747,58.9747,62.73,30.0,58.04,2,,,False,2016-11-22,152246812.25,63.3113,2016-12-01,58.9157,stop,-8.09
HUM,Unknown,2016-11-10,596,174.3918,20,160.4405,160.4405,163.24,30.0,151.88,1,,615.0,False,2016-11-09,180480642.43,177.5123,2016-12-08,186.2898,model_decay,6.82
